Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,september,september_rel,show,show_rel,train,train_rel
gpt-5,140.00,,49.40%,33.33%,0.130,8.26,3,100.00,,0.00,,40.00,
gpt-oss-20b-medium,105.00,,39.29%,33.33%,0.103,11.00,3,100.00,,0.00,,5.00,
gpt-oss-120b-medium,105.00,35.00%,39.29%,33.33%,0.103,9.27,3,100.00,100.00%,0.00,0.00%,5.00,5.00%
gpt-oss-120b-high,105.00,,39.29%,33.33%,0.133,13.50,3,100.00,,0.00,,5.00,
gpt-oss-120b-low,105.00,,39.29%,33.33%,0.163,11.58,3,100.00,,0.00,,5.00,
seed-oss_16384,105.00,,39.29%,33.33%,0.200,17.50,3,100.00,,0.00,,5.00,
gpt-o3-mini-high,105.00,,41.07%,33.33%,0.300,419.80,3,100.00,,0.00,,5.00,
gemini-2.5-pro,105.00,,42.86%,33.33%,0.443,22.68,3,100.00,,0.00,,5.00,
gpt-oss-20b-high,100.00,,33.33%,33.33%,0.090,3.82,3,100.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,50.00,,22.62%,0.00%,0.290,7.34,3,45.00,,0.00,,5.00,
Qwen3-32B,33.00,,14.81%,0.00%,0.333,315.45,3,28.00,,0.00,,5.00,
gpt-4.1,19.00,,10.12%,0.00%,0.133,8.61,3,14.00,,0.00,,5.00,
Qwen3-8B,19.00,,10.12%,0.00%,0.440,405.29,3,14.00,,0.00,,5.00,
Qwen3-14B,19.00,,10.12%,0.00%,0.447,4.24,3,14.00,,0.00,,5.00,
seed-oss_8192,5.00,,5.95%,0.00%,0.027,4.15,3,0.00,,0.00,,5.00,
seed-oss_-1,5.00,,5.95%,0.00%,0.033,11.05,3,0.00,,0.00,,5.00,
deepseek-chat,5.00,,5.95%,0.00%,0.037,3.54,3,0.00,,0.00,,5.00,
DeepSeek-R1-Distill-Qwen-14B,5.00,,5.95%,0.00%,0.060,3.40,3,0.00,,0.00,,5.00,
DeepSeek-R1-Distill-Qwen-32B,5.00,,5.95%,0.00%,0.060,4.15,3,0.00,,0.00,,5.00,
Qwen3-30B-Non-Thinking,5.00,,5.95%,0.00%,0.063,3.52,3,0.00,,0.00,,5.00,
Qwen3-32B-Non-Thinking,5.00,,5.95%,0.00%,0.130,371.96,3,0.00,,0.00,,5.00,
Llama-4-Scout,5.00,,5.95%,0.00%,0.140,408.14,3,0.00,,0.00,,5.00,
Qwen3-30B,5.00,,5.95%,0.00%,0.143,6.86,3,0.00,,0.00,,5.00,
Qwen2.5-72B,5.00,,5.95%,0.00%,0.150,6.85,3,0.00,,0.00,,5.00,
Qwen3-14B-Non-Thinking,5.00,,7.74%,0.00%,0.240,4.68,3,0.00,,0.00,,5.00,
Mistral-Large-Instruct-2411,5.00,,5.95%,0.00%,0.283,6.82,3,0.00,,0.00,,5.00,
Llama-3.1-8B-Instruct,5.00,,5.95%,0.00%,0.370,13.86,3,0.00,,0.00,,5.00,
Qwen3-4B,5.00,,5.95%,0.00%,0.430,165.37,3,0.00,,0.00,,5.00,
deepseek-reasoner,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,0.00,,N/A,
Qwen3-8B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
QwQ-32B,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
Codestral-22B-v0.1,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
gpt-oss-20b-low,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
seed-oss_512,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
seed-oss_4096,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
seed-oss_2048,0.00,,0.60%,0.00%,0.033,2.60,3,0.00,,0.00,,0.00,
seed-oss_0,0.00,,0.60%,0.00%,0.040,10.80,3,0.00,,0.00,,0.00,
seed-oss_1024,0.00,,0.60%,0.00%,0.040,5.69,3,0.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,0.00,,1.56%,0.00%,0.093,4.55,3,0.00,,0.00,,0.00,
gemini-2.5-flash,0.00,,5.36%,0.00%,0.373,76.71,3,0.00,,0.00,,0.00,
Llama-3.3-70B-Instruct,0.00,,0.60%,0.00%,0.540,7.77,3,0.00,,0.00,,0.00,
