problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
s1j4,RUNTIME_ERROR,6,40.00%,52.50%,0.010,0.00390625,,3,3,0,0,0,0,0,0
s2,ACCEPTED,15,100.00%,100.00%,0.010,1.55859375,,5,5,5,0,0,0,0,0
s3,RUNTIME_ERROR,2,13.33%,13.10%,0.080,5.16796875,,2,0,0,0,0,0,0,0
s4,ACCEPTED,15,100.00%,100.00%,0.230,32.48828125,,3,6,6,0,0,0,0,0
s5,RUNTIME_ERROR,7,46.67%,59.38%,0.130,39.46484375,,3,4,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,100.00%,0.050,16.51171875,,3,3,4,4,4,7,0,0
d1p2,RUNTIME_ERROR,0,0.00%,1.90%,0.200,40.0,,0,0,0,0,0,0,0,0
d1p3,TIME_LIMIT_EXCEEDED,0,0.00%,7.69%,2.420,80.015625,,0,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,13,52.00%,63.39%,0.010,1.67578125,,1,3,4,5,0,0,0,0
d2p2,RUNTIME_ERROR,2,8.00%,10.94%,0.130,42.8046875,,2,0,0,0,0,0,0,0
d2p3,RUNTIME_ERROR,0,0.00%,20.75%,0.260,62.9140625,,0,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.000,0,,6,6,3,0,0,0,0,0
s1j4,ACCEPTED,15,100.00%,100.00%,0.010,2.84765625,,3,3,5,4,0,0,0,0
j5,ACCEPTED,15,100.00%,100.00%,0.010,0.00390625,,2,2,2,9,0,0,0,0
TOTAL,,160,,64.35%,,,50.00%,,,,,,,,
