problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
game,TIME_LIMIT_EXCEEDED,8,13.51%,1.800,6.71484375,,8,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,7.38%,0.030,1.7578125,,0,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,27,0.00%,0.090,1.95703125,,4.72823,4.07686,1.44916,1.4693500000000002,1.5234,1.77837,2.21444,2.77524,3.35778,3.6938700000000004
travel,TIME_LIMIT_EXCEEDED,20,29.41%,1.220,35.58984375,,10,10,0,0,0,0,0,0,0,0
aquarelle,RUNTIME_ERROR,0,42.15%,0.020,0,,0,0,0,0,0,0,0,0,0,0
parentheses,ACCEPTED,100,100.00%,0.090,67.44140625,,0,5,10,10,15,15,45,0,0,0
tolls,ACCEPTED,100,100.00%,0.070,6.28125,,0,5,5,10,20,10,20,30,0,0
twins,RUNTIME_ERROR,40,35.88%,0.020,3.171875,,40,0,0,0,0,0,0,0,0,0
walk,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
xy,RUNTIME_ERROR,0,0.00%,0.030,3.36328125,,0,0,0,0,0,0,0,0,0,0
TOTAL,,295,29.85%,,,18.18%,,,,,,,,,,
