solution,status,score,relative_score,%test passed,time,memory
s3_seed-oss_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
s3_seed-oss_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
s3_seed-oss_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
s3_seed-oss_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
s3_seed-oss_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
s3_seed-oss_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
s3_seed-oss_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
s3_seed-oss_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
s3_seed-oss_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
s3_seed-oss_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
s3_seed-oss_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
s3_seed-oss_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
s3_seed-oss_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
s3_seed-oss_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
s3_seed-oss_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
s3_seed-oss_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
