problem,model,status,score,relative_score,%test passed,time,memory
2024-sp_Fish_3,Qwen3-30B-Non-Thinking,RUNTIME_ERROR,0,0.00%,9.21%,0.420,8.31640625
2024-sp_Ski_2,Qwen3-30B-Non-Thinking,RUNTIME_ERROR,0,0.00%,0.00%,0.160,0.00390625
2024-sp_Spy_3,Qwen3-30B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Board_Game,Qwen3-30B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Tricolor_Lights,Qwen3-30B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,Qwen3-30B-Non-Thinking,RUNTIME_ERROR,0,0.00%,4.60%,0.000,0
2024-sp_Card_Collection,Qwen3-30B-Non-Thinking,RUNTIME_ERROR,0,0.00%,6.06%,0.000,0
2024-sp_JOI_Tour,Qwen3-30B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Tower,Qwen3-30B-Non-Thinking,RUNTIME_ERROR,0,0.00%,11.24%,0.250,14.9609375
2024-sp_Escape_Route_2,Qwen3-30B-Non-Thinking,RUNTIME_ERROR,0,0.00%,0.00%,0.170,5.9375
2024-sp_Island_Hopping,Qwen3-30B-Non-Thinking,RUNTIME_ERROR,7,7.00%,5.17%,0.160,1.546875
2024-sp_Table_Tennis,Qwen3-30B-Non-Thinking,UNKNOWN,0,0.00%,0.00%,0.000,0
