problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,Qwen3-14B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Festivals_in_JOI_Kingdom_2,Qwen3-14B-Non-Thinking,RUNTIME_ERROR,0,0.00%,13.33%,0.140,0
2023-sp_Passport,Qwen3-14B-Non-Thinking,RUNTIME_ERROR,0,0.00%,9.43%,0.000,0
2023-sp_Belt_Conveyor,Qwen3-14B-Non-Thinking,RUNTIME_ERROR,0,0.00%,3.23%,0.680,6.578125
2023-sp_Council,Qwen3-14B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Mizuyokan_2,Qwen3-14B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Chorus,Qwen3-14B-Non-Thinking,RUNTIME_ERROR,0,0.00%,12.66%,0.000,0
2023-sp_Cookies,Qwen3-14B-Non-Thinking,RUNTIME_ERROR,0,0.00%,15.97%,0.150,0
2023-sp_Tourism,Qwen3-14B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Super_Dango_Maker,Qwen3-14B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Security_Guard,Qwen3-14B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
