problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,TIME_LIMIT_EXCEEDED,81,81.00%,90.28%,0.850,32.94140625,,5,19,19,19,19,0,0,0,0,0
game,RUNTIME_ERROR,0,0.00%,10.81%,0.150,6.46484375,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,69,69.00%,54.81%,0.430,27.84375,,6,19,13,0,0,31,0,0,0,0
ones,WRONG_ANSWER,25,25.00%,0.00%,0.170,1.94921875,,4.70929,4.06906,3.35974,2.8991499999999997,2.49801,2.0357600000000002,1.72931,1.45111,1.1148099999999999,0.87959
travel,TIME_LIMIT_EXCEEDED,20,20.00%,27.38%,1.290,490.109375,,10,10,0,0,0,0,0,0,0,0
aquarelle,RUNTIME_ERROR,29,29.00%,82.86%,0.110,21.8984375,,0,11,18,0,0,0,0,0,0,0
parentheses,ACCEPTED,100,100.00%,100.00%,0.180,7.3984375,,0,5,10,10,15,15,45,0,0,0
tolls,ACCEPTED,100,100.00%,100.00%,0.140,7.41796875,,0,5,5,10,20,10,20,30,0,0
twins,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
walk,RUNTIME_ERROR,0,0.00%,0.00%,0.100,0.00390625,,0,0,0,0,0,0,0,0,0,0
xy,RUNTIME_ERROR,0,0.00%,0.00%,0.100,3.359375,,0,0,0,0,0,0,0,0,0,0
TOTAL,,424,,42.38%,,,18.18%,,,,,,,,,,
