problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,ACCEPTED,50,100.00%,0.000,0,,9,19,22,0,0,0
karte,ACCEPTED,70,100.00%,0.150,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,5.80%,0.000,0,,0,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,0.500,55.62890625,,21,37,22,40,0,0
procesor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,0.000,0,,21,13,16,0,0,0
zid,ACCEPTED,70,100.00%,0.120,1.8125,,17,21,32,0,0,0
tornjevi,ACCEPTED,90,100.00%,0.290,14.64453125,,7,11,17,29,26,0
crtez,ACCEPTED,120,100.00%,0.180,22.6875,,20,55,45,0,0,0
stablo,ACCEPTED,120,100.00%,0.390,56.828125,,15,15,45,45,0,0
sah,ACCEPTED,50,100.00%,0.060,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,0.090,9.23828125,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,ACCEPTED,120,100.00%,0.220,23.6640625,,17,27,37,24,15,0
tura,RUNTIME_ERROR,109,73.38%,0.060,2.8359375,,0,41,68,0,0,0
paradoks,ACCEPTED,50,100.00%,0.000,0,,10,10,30,0,0,0
igre,ACCEPTED,70,100.00%,0.090,1.55859375,,6,13,23,28,0,0
razlicitost,ACCEPTED,90,100.00%,0.300,10.05859375,,25,13,9,43,0,0
blistavost,ACCEPTED,120,100.00%,0.060,0.00390625,,20,25,55,20,0,0
trokuti,TIME_LIMIT_EXCEEDED,13,25.96%,4.860,241.52734375,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,0.090,3.6171875,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,0.190,25.46875,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,35,32.79%,0.150,38.26953125,,0,0,35,0,0,0
zbunjenost,ACCEPTED,120,100.00%,0.200,30.82421875,,13,18,34,15,40,0
TOTAL,,1747,81.52%,,,76.00%,,,,,,
