problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8
2024-open-t1_Examination_2,TIME_LIMIT_EXCEEDED,20,20.00%,17.78%,2.530,151.53125,,0,20,0,0,0,0,0,0
2024-open-t2_Heat_Stroke,RUNTIME_ERROR,0,0.00%,29.55%,0.000,0,,0,0,0,0,0,0,0,0
2024-open-t3_Library_3,RUNTIME_ERROR,0,0.00%,6.67%,0.150,1.48828125,,0,0,0,0,0,0,0,0
2024-sp_Fish_3,TIME_LIMIT_EXCEEDED,0,0.00%,14.10%,2.400,3.62109375,,0,0,0,0,0,0,0,0
2024-sp_Ski_2,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Spy_3,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Board_Game,RUNTIME_ERROR,3,3.00%,8.07%,0.210,5.16015625,,3,0,0,0,0,0,0,0
2024-sp_Tricolor_Lights,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Growing_Vegetables_is_Fun_5,TIME_LIMIT_EXCEEDED,30,30.00%,76.69%,5.980,19.44140625,,4,5,21,0,0,0,0,0
2024-sp_Card_Collection,RUNTIME_ERROR,0,0.00%,3.10%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_JOI_Tour,RUNTIME_ERROR,0,0.00%,9.74%,0.250,27.6015625,,0,0,0,0,0,0,0,0
2024-sp_Tower,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Escape_Route_2,RUNTIME_ERROR,0,0.00%,4.59%,0.540,2.32421875,,0,0,0,0,0,0,0,0
2024-sp_Island_Hopping,RUNTIME_ERROR,2,2.00%,4.31%,0.160,0.56640625,,2,0,0,0,0,0,0,0
2024-sp_Table_Tennis,RUNTIME_ERROR,0,0.00%,10.26%,0.170,0.00390625,,0,0,0,0,0,0,0,0
2024-ho-t1_Room_Temperature,ACCEPTED,100,100.00%,100.00%,0.300,5.2734375,,15,5,30,35,15,0,0,0
2024-ho-t2_Construction_Project_2,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-ho-t3_Marathon_Race_2,RUNTIME_ERROR,7,7.00%,58.82%,0.000,0,,7,0,0,0,0,0,0,0
2024-ho-t4_Gift_Exchange,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-ho-t5_Road_Service_2,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0
TOTAL,,162,,17.18%,,,5.00%,,,,,,,,
