problem_id,model,solution_file,status,score,relative_score,tests_passed,execution_time,memory_usage
APIO-2023-contest-abc,gpt-oss-120b-high,abc_gpt-oss-120b-high_0.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.070,5.74609375
APIO-2023-contest-abc,gpt-oss-120b-high,abc_gpt-oss-120b-high_1.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.020,5.36328125
APIO-2023-contest-abc,gpt-oss-120b-high,abc_gpt-oss-120b-high_2.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.020,5.2265625
APIO-2023-contest-abc,gpt-oss-120b-high,abc_gpt-oss-120b-high_3.cpp,RUNTIME_ERROR,4,4.00%,16.00%,0.130,12.1171875
APIO-2023-contest-abc,gpt-oss-120b-high,abc_gpt-oss-120b-high_4.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.020,5.4765625
APIO-2023-contest-abc,gpt-oss-120b-high,abc_gpt-oss-120b-high_5.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.020,5.15625
APIO-2023-contest-abc,gpt-oss-120b-high,abc_gpt-oss-120b-high_6.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.020,5.16015625
APIO-2023-contest-abc,gpt-oss-120b-high,abc_gpt-oss-120b-high_7.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.020,5.15234375
APIO-2023-contest-cyberland,gpt-oss-120b-high,cyberland_gpt-oss-120b-high_0.cpp,RUNTIME_ERROR,15,15.00%,20.73%,0.550,21.26171875
APIO-2023-contest-cyberland,gpt-oss-120b-high,cyberland_gpt-oss-120b-high_1.cpp,RUNTIME_ERROR,15,15.00%,20.73%,0.850,39.28515625
APIO-2023-contest-cyberland,gpt-oss-120b-high,cyberland_gpt-oss-120b-high_2.cpp,RUNTIME_ERROR,15,15.00%,20.73%,0.560,21.7734375
APIO-2023-contest-cyberland,gpt-oss-120b-high,cyberland_gpt-oss-120b-high_3.cpp,RUNTIME_ERROR,15,15.00%,20.73%,0.800,29.91796875
APIO-2023-contest-cyberland,gpt-oss-120b-high,cyberland_gpt-oss-120b-high_4.cpp,RUNTIME_ERROR,15,15.00%,20.73%,0.670,35.99609375
APIO-2023-contest-cyberland,gpt-oss-120b-high,cyberland_gpt-oss-120b-high_6.cpp,RUNTIME_ERROR,15,15.00%,20.73%,0.460,21.26171875
APIO-2023-contest-cyberland,gpt-oss-120b-high,cyberland_gpt-oss-120b-high_7.cpp,RUNTIME_ERROR,15,15.00%,20.73%,0.430,35.859375
APIO-2023-contest-sequence,gpt-oss-120b-high,sequence_gpt-oss-120b-high_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
APIO-2023-contest-sequence,gpt-oss-120b-high,sequence_gpt-oss-120b-high_1.cpp,RUNTIME_ERROR,12,12.00%,30.53%,0.350,41.76953125
