solution,status,score,relative_score,%test passed,time,memory,subtask_0,subtask_1,subtask_2
7krokods_Qwen3-8B_0.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
7krokods_Qwen3-8B_3.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.050,0,0,0,0
7krokods_Qwen3-8B_6.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
7krokods_Qwen3-8B_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
7krokods_Qwen3-8B_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
7krokods_Qwen3-8B_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
7krokods_Qwen3-8B_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
7krokods_Qwen3-8B_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
7krokods_Qwen3-8B_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
7krokods_Qwen3-8B_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
7krokods_Qwen3-8B_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
7krokods_Qwen3-8B_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
7krokods_Qwen3-8B_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
7krokods_Qwen3-8B_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
7krokods_Qwen3-8B_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
7krokods_Qwen3-8B_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
7krokods_Qwen3-8B_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
7krokods_Qwen3-8B_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
