Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,2024-open-t1_Examination_2,2024-open-t1_Examination_2_rel,2024-open-t2_Heat_Stroke,2024-open-t2_Heat_Stroke_rel,2024-open-t3_Library_3,2024-open-t3_Library_3_rel
gpt-5,206.00,,78.86%,66.67%,0.367,19.86,3,100.00,,6.00,,100.00,
gpt-oss-120b-high,108.00,,63.75%,33.33%,0.260,311.48,3,100.00,,6.00,,2.00,
gpt-oss-20b-high,106.00,,45.52%,33.33%,0.093,6.64,3,100.00,,6.00,,0.00,
gemini-2.5-pro,47.00,,59.00%,0.00%,0.897,20.43,3,20.00,,6.00,,21.00,
deepseek-chat,28.00,,42.26%,0.00%,0.767,33.91,3,20.00,,6.00,,2.00,
Qwen3-32B,28.00,,43.05%,0.00%,0.787,7.20,3,20.00,,6.00,,2.00,
seed-oss_-1,28.00,,48.60%,0.00%,0.827,28.14,3,20.00,,6.00,,2.00,
seed-oss_8192,28.00,,34.32%,0.00%,0.830,6.01,3,20.00,,6.00,,2.00,
Qwen3-30B,28.00,,43.05%,0.00%,0.837,10.38,3,20.00,,6.00,,2.00,
Qwen3-14B,28.00,,43.05%,0.00%,0.847,6.98,3,20.00,,6.00,,2.00,
gpt-o3-mini-high,26.00,,33.56%,0.00%,0.760,28.29,3,20.00,,6.00,,0.00,
seed-oss_16384,26.00,,29.19%,0.00%,0.823,8.17,3,20.00,,6.00,,0.00,
Qwen3-8B,26.00,,25.59%,0.00%,0.827,9.09,3,20.00,,6.00,,0.00,
gpt-oss-120b-medium,26.00,8.67%,31.71%,0.00%,0.837,8.95,3,20.00,20.00%,6.00,6.00%,0.00,0.00%
seed-oss_2048,26.00,,27.81%,0.00%,0.840,19.78,3,20.00,,6.00,,0.00,
gpt-oss-120b-low,26.00,,34.90%,0.00%,0.863,26.63,3,20.00,,6.00,,0.00,
gpt-oss-20b-medium,26.00,,39.15%,0.00%,0.883,11.53,3,20.00,,6.00,,0.00,
Qwen3-14B-Non-Thinking,21.00,,33.26%,0.00%,0.103,0.51,3,0.00,,0.00,,21.00,
Llama-3.3-70B-Instruct,21.00,,33.26%,0.00%,0.113,0.51,3,0.00,,0.00,,21.00,
gemini-2.5-flash,20.00,,33.56%,0.00%,0.767,18.21,3,20.00,,0.00,,0.00,
gpt-4.1,20.00,,26.47%,0.00%,0.783,14.36,3,20.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,20.00,,18.00%,0.00%,0.793,14.84,3,20.00,,0.00,,0.00,
gpt-oss-20b-low,20.00,,20.35%,0.00%,0.810,8.63,3,20.00,,0.00,,0.00,
Qwen3-4B,6.00,,12.19%,0.00%,0.010,0.00,3,0.00,,6.00,,0.00,
seed-oss_4096,6.00,,14.41%,0.00%,0.033,0.00,3,0.00,,6.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,6.00,,14.41%,0.00%,0.083,0.00,3,0.00,,6.00,,0.00,
deepseek-reasoner,6.00,,18.31%,0.00%,0.087,1.80,3,0.00,,6.00,,0.00,
QwQ-32B,6.00,,20.09%,0.00%,0.853,10.78,3,0.00,,6.00,,0.00,
Llama-4-Scout,2.00,,24.41%,0.00%,0.023,0.52,3,0.00,,0.00,,2.00,
Qwen3-30B-Non-Thinking,2.00,,25.18%,0.00%,0.057,0.51,3,0.00,,0.00,,2.00,
DeepSeek-Coder-V2-Lite-Instruct,0.00,,6.95%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-7B,0.00,,6.95%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
Qwen3-32B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,0.00,
Qwen3-8B-Non-Thinking,0.00,0.00%,0.00%,0.00%,0.000,0.00,1,0.00,0.00%,N/A,N/A,N/A,N/A
seed-oss_0,0.00,,7.67%,0.00%,0.017,0.00,3,0.00,,0.00,,0.00,
seed-oss_512,0.00,,9.89%,0.00%,0.017,0.50,3,0.00,,0.00,,0.00,
Qwen2.5-72B,0.00,,13.07%,0.00%,0.040,0.49,3,0.00,,0.00,,0.00,
Codestral-22B-v0.1,0.00,,9.17%,0.00%,0.040,0.49,3,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,0.00,,9.17%,0.00%,0.040,0.51,3,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,6.95%,0.00%,0.043,0.00,3,0.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,0.00,,11.20%,0.00%,0.047,0.49,3,0.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,0.00,,9.17%,0.00%,0.087,0.79,3,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,0.00,,11.74%,0.00%,0.100,4.40,3,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,0.00,,8.84%,0.00%,0.110,9.01,3,0.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,0.00,,10.67%,0.00%,0.277,3.83,3,0.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,0.00,,17.19%,0.00%,0.773,5.14,3,0.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,0.00,,10.31%,0.00%,0.837,9.65,3,0.00,,0.00,,0.00,
seed-oss_1024,0.00,,11.39%,0.00%,0.837,5.83,3,0.00,,0.00,,0.00,
