problem,model,status,score,%test passed,time,memory
2024-sp_Fish_3,Llama-3.1-8B-Instruct,RUNTIME_ERROR,0,9.21%,0.160,72.296875
2024-sp_Ski_2,Llama-3.1-8B-Instruct,RUNTIME_ERROR,0,0.00%,0.000,0
2024-sp_Spy_3,Llama-3.1-8B-Instruct,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Board_Game,Llama-3.1-8B-Instruct,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Tricolor_Lights,Llama-3.1-8B-Instruct,UNKNOWN,0,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,Llama-3.1-8B-Instruct,RUNTIME_ERROR,0,0.00%,0.000,0
2024-sp_Card_Collection,Llama-3.1-8B-Instruct,RUNTIME_ERROR,0,6.06%,0.010,0
2024-sp_JOI_Tour,Llama-3.1-8B-Instruct,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Tower,Llama-3.1-8B-Instruct,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Escape_Route_2,Llama-3.1-8B-Instruct,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Island_Hopping,Llama-3.1-8B-Instruct,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Table_Tennis,Llama-3.1-8B-Instruct,TIME_LIMIT_EXCEEDED,0,0.46%,1.110,0.00390625
