Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,Almost_Certainly,Almost_Certainly_rel,Big_Persimmon,Big_Persimmon_rel,Burenka_and_Pether,Burenka_and_Pether_rel,Draw_Polygon_Lines,Draw_Polygon_Lines_rel,Evidence_Board,Evidence_Board_rel,More_Gifts,More_Gifts_rel,Parallel_Universes,Parallel_Universes_rel,Three_Arrays,Three_Arrays_rel
gpt-5,566.00,,79.45%,50.00%,0.870,128.55,8,100.00,,56.00,,34.00,,53.00,,100.00,,100.00,,23.00,,100.00,
gpt-oss-120b-high,548.00,,77.39%,50.00%,0.915,143.70,8,100.00,,56.00,,20.00,,53.00,,100.00,,100.00,,19.00,,100.00,
gpt-oss-20b-high,409.00,,77.27%,50.00%,0.520,92.28,6,N/A,,56.00,,N/A,,53.00,,100.00,,100.00,,0.00,,100.00,
gpt-oss-120b-medium,366.00,45.75%,51.23%,25.00%,0.410,194.97,8,27.00,27.00%,56.00,56.00%,0.00,0.00%,53.00,53.00%,7.00,7.00%,100.00,100.00%,23.00,23.00%,100.00,100.00%
gemini-2.5-pro,352.00,,58.54%,25.00%,1.300,247.33,8,13.00,,56.00,,10.00,,36.00,,7.00,,100.00,,30.00,,100.00,
gpt-o3-mini-high,336.00,,54.58%,25.00%,0.637,119.89,8,16.00,,56.00,,0.00,,53.00,,0.00,,100.00,,11.00,,100.00,
gemini-2.5-flash,316.00,,53.34%,25.00%,0.817,149.44,8,0.00,,56.00,,17.00,,36.00,,7.00,,100.00,,0.00,,100.00,
seed-oss_16384,311.00,,52.37%,25.00%,0.700,205.98,8,29.00,,29.00,,0.00,,53.00,,0.00,,100.00,,0.00,,100.00,
gpt-oss-20b-medium,309.00,,44.64%,25.00%,0.332,65.95,8,0.00,,56.00,,0.00,,53.00,,0.00,,100.00,,0.00,,100.00,
Qwen3-32B,252.00,,43.88%,0.00%,0.659,93.97,8,0.00,,56.00,,0.00,,53.00,,7.00,,63.00,,12.00,,61.00,
gpt-oss-120b-low,227.00,,38.17%,12.50%,0.376,65.17,8,0.00,,56.00,,0.00,,53.00,,7.00,,100.00,,11.00,,0.00,
seed-oss_-1,224.00,,37.99%,12.50%,0.615,166.56,8,13.00,,56.00,,0.00,,36.00,,7.00,,12.00,,0.00,,100.00,
gpt-4.1,201.00,,36.52%,0.00%,1.115,134.04,8,0.00,,56.00,,0.00,,36.00,,7.00,,30.00,,11.00,,61.00,
Qwen3-14B,196.00,,37.77%,0.00%,0.467,67.31,8,13.00,,56.00,,0.00,,53.00,,0.00,,51.00,,23.00,,0.00,
deepseek-reasoner,195.00,,36.53%,0.00%,0.455,39.94,8,13.00,,56.00,,0.00,,53.00,,0.00,,12.00,,0.00,,61.00,
Codestral-22B-v0.1,160.00,,25.00%,12.50%,0.465,1.88,8,0.00,,12.00,,0.00,,18.00,,0.00,,30.00,,100.00,,0.00,
deepseek-chat,144.00,,29.19%,0.00%,0.243,75.86,8,13.00,,22.00,,0.00,,36.00,,0.00,,12.00,,0.00,,61.00,
Qwen3-8B,127.00,,28.08%,0.00%,0.081,5.64,8,0.00,,12.00,,0.00,,53.00,,0.00,,51.00,,11.00,,0.00,
seed-oss_8192,117.00,,25.93%,0.00%,0.660,161.21,8,13.00,,56.00,,0.00,,36.00,,0.00,,12.00,,0.00,,0.00,
gpt-oss-20b-low,116.00,,28.30%,0.00%,0.350,67.24,8,0.00,,56.00,,0.00,,53.00,,7.00,,0.00,,0.00,,0.00,
Qwen3-30B,113.00,,25.81%,0.00%,0.143,7.43,8,13.00,,12.00,,0.00,,53.00,,0.00,,12.00,,23.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,109.00,,26.79%,0.00%,0.350,38.16,8,0.00,,56.00,,0.00,,53.00,,0.00,,0.00,,0.00,,0.00,
QwQ-32B,90.00,,23.23%,0.00%,0.147,3.19,8,13.00,,12.00,,0.00,,53.00,,0.00,,12.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,78.00,,17.66%,0.00%,0.274,70.26,8,0.00,,12.00,,0.00,,36.00,,0.00,,30.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,78.00,,18.97%,0.00%,0.450,2.91,8,0.00,,12.00,,0.00,,36.00,,0.00,,30.00,,0.00,,0.00,
seed-oss_4096,75.00,,21.07%,0.00%,0.618,5.56,8,0.00,,12.00,,0.00,,32.00,,0.00,,0.00,,0.00,,31.00,
Llama-3.3-70B-Instruct,66.00,,15.54%,0.00%,0.553,1.73,8,0.00,,0.00,,0.00,,36.00,,0.00,,30.00,,0.00,,0.00,
Qwen3-4B,65.00,,18.37%,0.00%,0.496,2.71,8,0.00,,12.00,,0.00,,53.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-32B-Non-Thinking,53.00,,13.14%,0.00%,0.059,3.53,8,0.00,,0.00,,0.00,,53.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,53.00,,12.96%,0.00%,0.071,0.72,8,0.00,,0.00,,0.00,,53.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,49.00,,9.95%,0.00%,0.322,0.90,8,13.00,,0.00,,0.00,,36.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_2048,48.00,,11.25%,0.00%,0.319,3.48,8,0.00,,12.00,,0.00,,36.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,48.00,,17.75%,0.00%,0.389,4.52,8,0.00,,12.00,,0.00,,36.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,48.00,,10.78%,0.00%,0.397,16.02,8,0.00,,12.00,,0.00,,36.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_0,46.00,,9.44%,0.00%,0.317,7.48,8,0.00,,12.00,,0.00,,34.00,,0.00,,0.00,,0.00,,0.00,
Llama-4-Scout,42.00,,11.11%,0.00%,0.160,0.74,8,0.00,,12.00,,0.00,,0.00,,0.00,,30.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,41.00,,7.28%,0.00%,0.201,71.24,8,0.00,,12.00,,0.00,,18.00,,0.00,,0.00,,11.00,,0.00,
Qwen3-8B-Non-Thinking,36.00,,7.74%,0.00%,0.304,1.80,8,0.00,,0.00,,0.00,,36.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,36.00,,9.55%,0.00%,0.435,1.07,8,0.00,,0.00,,0.00,,36.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,33.00,,7.77%,0.00%,0.311,53.16,8,0.00,,0.00,,0.00,,33.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-72B,30.00,,5.87%,0.00%,0.160,71.01,8,0.00,,12.00,,0.00,,18.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,30.00,,4.85%,0.00%,0.496,1.15,8,0.00,,12.00,,0.00,,18.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,20.00,,4.49%,0.00%,0.310,0.52,8,0.00,,12.00,,0.00,,8.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_1024,18.00,,3.69%,0.00%,0.314,0.77,8,0.00,,0.00,,0.00,,18.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_512,8.00,,2.72%,0.00%,0.025,1.64,8,0.00,,0.00,,0.00,,8.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,0.00,,N/A,,N/A,,N/A,,N/A,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,8,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,0.00,,1.78%,0.00%,0.010,0.64,8,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
