Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bitovi,bitovi_rel,piratski,piratski_rel,rolete,rolete_rel,trokut,trokut_rel,zlagalica,zlagalica_rel
gpt-oss-20b-high,283.00,,62.50%,60.00%,0.072,1.09,5,0.00,,110.00,,110.00,,13.00,,50.00,
gpt-5,270.00,,60.00%,60.00%,0.028,1.19,5,0.00,,110.00,,110.00,,0.00,,50.00,
gemini-2.5-flash,270.00,,60.00%,60.00%,0.030,1.14,5,0.00,,110.00,,110.00,,0.00,,50.00,
gemini-2.5-pro,270.00,,60.00%,60.00%,0.032,1.51,5,0.00,,110.00,,110.00,,0.00,,50.00,
seed-oss_-1,186.00,,44.49%,40.00%,0.026,1.03,5,0.00,,110.00,,26.00,,0.00,,50.00,
seed-oss_16384,186.00,,44.49%,40.00%,0.028,2.11,5,0.00,,110.00,,26.00,,0.00,,50.00,
gpt-oss-120b-medium,186.00,44.73%,44.49%,40.00%,0.030,1.72,5,0.00,0.00%,110.00,100.00%,26.00,23.64%,0.00,0.00%,50.00,100.00%
seed-oss_8192,186.00,,44.49%,40.00%,0.032,1.19,5,0.00,,110.00,,26.00,,0.00,,50.00,
gpt-o3-mini-high,186.00,,44.49%,40.00%,0.034,1.59,5,0.00,,110.00,,26.00,,0.00,,50.00,
Qwen3-30B,186.00,,44.49%,40.00%,0.072,1.02,5,0.00,,110.00,,26.00,,0.00,,50.00,
Qwen3-14B,186.00,,44.49%,40.00%,0.112,1.52,5,0.00,,110.00,,26.00,,0.00,,50.00,
Qwen3-32B,186.00,,44.49%,40.00%,0.126,1.40,5,0.00,,110.00,,26.00,,0.00,,50.00,
Qwen3-8B,160.00,,40.00%,40.00%,0.012,0.31,5,0.00,,110.00,,0.00,,0.00,,50.00,
gpt-oss-20b-medium,160.00,,40.41%,40.00%,0.040,3.91,5,0.00,,110.00,,0.00,,0.00,,50.00,
QwQ-32B,148.00,,29.49%,20.00%,0.100,1.09,5,0.00,,110.00,,26.00,,0.00,,12.00,
gpt-oss-120b-low,76.00,,24.49%,20.00%,0.028,1.94,5,0.00,,0.00,,26.00,,0.00,,50.00,
deepseek-reasoner,76.00,,24.49%,20.00%,0.068,1.52,5,0.00,,0.00,,26.00,,0.00,,50.00,
DeepSeek-R1-Distill-Qwen-32B,50.00,,20.00%,20.00%,0.038,0.54,5,0.00,,0.00,,0.00,,0.00,,50.00,
