Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count
gpt-5,5472.00,,83.84%,80.00%,0.248,17.37,75
gpt-oss-20b-high,4949.00,,82.11%,79.17%,0.171,19.91,72
gemini-2.5-pro,4805.00,,78.00%,70.67%,0.433,26.02,75
gpt-oss-120b-medium,4691.00,73.37%,75.22%,69.33%,0.280,17.30,75
gpt-oss-20b-medium,4511.00,,74.50%,70.27%,0.216,22.40,74
gpt-o3-mini-high,4496.00,,73.22%,68.00%,0.359,16.60,75
gemini-2.5-flash,4301.00,,73.22%,62.67%,0.459,38.94,75
seed-oss_-1,4234.00,,71.67%,63.51%,0.356,24.87,74
gpt-oss-120b-low,3596.00,,61.72%,54.67%,0.357,16.79,75
seed-oss_8192,3542.00,,61.78%,52.00%,0.415,26.77,75
Qwen3-32B,3499.00,,63.00%,52.00%,0.695,16.02,75
deepseek-reasoner,3360.00,,60.49%,48.00%,0.365,13.54,75
Qwen3-30B,3321.00,,57.73%,49.33%,0.584,10.30,75
Qwen3-14B,3191.00,,55.54%,46.67%,0.526,12.72,75
QwQ-32B,3177.00,,55.47%,48.00%,0.265,13.04,75
gpt-4.1,3027.00,,54.69%,44.00%,0.659,24.93,75
gpt-oss-20b-low,2920.00,,53.41%,46.67%,0.290,29.79,75
Qwen3-8B,2659.00,,47.69%,38.67%,0.463,28.74,75
deepseek-chat,2302.00,,45.14%,34.67%,0.434,32.58,75
DeepSeek-R1-Distill-Qwen-32B,2125.00,,42.81%,33.33%,0.407,12.54,75
DeepSeek-R1-Distill-Llama-70B,2094.00,,38.70%,33.33%,0.215,24.50,75
Qwen3-4B,1968.00,,39.97%,29.33%,0.579,18.51,75
Qwen2.5-Coder-32B-Instruct,1321.00,,29.02%,14.67%,0.563,20.29,75
DeepSeek-R1-Distill-Qwen-14B,1268.00,,24.42%,18.67%,0.197,5.70,75
Llama-4-Scout,1167.00,,26.37%,14.86%,0.519,8.74,74
Qwen3-30B-Non-Thinking,1117.00,,25.37%,14.67%,0.290,27.63,75
Mistral-Large-Instruct-2411,1051.00,,26.75%,13.33%,0.683,21.27,75
seed-oss_0,837.00,,20.55%,16.00%,0.175,3.03,75
Llama-3.3-70B-Instruct,814.00,,22.39%,10.67%,0.769,23.31,75
Qwen3-8B-Non-Thinking,813.00,,21.41%,8.00%,0.611,16.95,75
Qwen3-4B-Non-Thinking,688.00,,17.84%,6.76%,0.377,19.67,74
Qwen2.5-Coder-7B-Instruct,366.00,,11.03%,5.33%,0.251,7.04,75
Llama-3.1-8B-Instruct,253.00,,8.49%,2.67%,0.137,1.57,75
seed-oss_16384,0.00,,0.00%,0.00%,0.000,0.00,7
seed-oss_2048,0.00,,0.00%,0.00%,0.000,0.00,1
seed-oss_512,0.00,,0.00%,0.00%,0.000,0.00,1
Qwen2.5-Coder-14B-Instruct,0.00,,0.00%,0.00%,0.000,0.00,1
Mistral-Small-3.1-24B-2503,0.00,,0.00%,0.00%,0.000,0.00,1
Codestral-22B-v0.1,0.00,,0.00%,0.00%,0.000,0.00,1
Qwen3-32B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1
Qwen2.5-72B,0.00,,0.00%,0.00%,0.000,0.00,1
Qwen3-14B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1
DeepSeek-Coder-V2-Lite-Instruct,0.00,,0.00%,0.00%,0.000,0.00,1
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,2
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.005,0.00,11
seed-oss_4096,0.00,,0.00%,0.00%,0.015,0.00,2
gpt-oss-120b-high,0.00,0.00%,0.00%,0.00%,0.030,0.00,1
seed-oss_1024,0.00,,0.00%,0.00%,0.030,0.00,1
