problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
s1j4,ACCEPTED,15,100.00%,0.030,3.015625,,3,3,5,4,0,0,0,0
s2,ACCEPTED,15,100.00%,0.030,1.55859375,,5,5,5,0,0,0,0,0
s3,RUNTIME_ERROR,0,1.19%,0.020,1.8125,,0,0,0,0,0,0,0,0
s4,ACCEPTED,15,100.00%,0.170,1.80859375,,3,6,6,0,0,0,0,0
s5,RUNTIME_ERROR,3,28.12%,0.050,5.4765625,,3,0,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,0.080,9.03125,,3,3,4,4,4,7,0,0
d1p2,RUNTIME_ERROR,0,1.90%,0.060,24.24609375,,0,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,4.81%,0.050,62.65625,,0,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,1,29.46%,0.020,1.73046875,,1,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,2,9.38%,0.130,32.12109375,,2,0,0,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,10,64.15%,1.150,9.06640625,,5,5,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.000,0,,6,6,3,0,0,0,0,0
s1j4,ACCEPTED,15,100.00%,0.030,2.84765625,,3,3,5,4,0,0,0,0
j5,ACCEPTED,15,100.00%,0.000,0,,2,2,2,9,0,0,0,0
TOTAL,,161,64.94%,,,56.25%,,,,,,,,
