problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,19,14,0,0
vrsar,RUNTIME_ERROR,27,38.57%,50.00%,0.150,7.484375,,8,0,19,0,0
milano,ACCEPTED,110,100.00%,100.00%,0.100,9.80078125,,21,18,31,40,0
restorani,TIME_LIMIT_EXCEEDED,0,0.00%,1.37%,2.410,613.34375,,0,0,0,0,0
cesta,RUNTIME_ERROR,0,0.00%,0.92%,0.120,9.28515625,,0,0,0,0,0
zlagalica,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,12,12,9,0
bitovi,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
piratski,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
rolete,TIME_LIMIT_EXCEEDED,0,0.00%,2.04%,2.420,4.29296875,,0,0,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.00%,0.050,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,100.00%,0.070,4.39453125,,7,27,36,0,0
lepeze,RUNTIME_ERROR,0,0.00%,3.85%,0.060,0,,0,0,0,0,0
putovanje,TIME_LIMIT_EXCEEDED,65,59.09%,64.03%,2.410,152.375,,10,20,35,0,0
roboti,TIME_LIMIT_EXCEEDED,23,20.91%,45.45%,2.420,9.59375,,10,13,0,0,0
pahuljice,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,100.00%,0.060,6.19140625,,7,16,22,25,0
dizalo,RUNTIME_ERROR,0,0.00%,0.00%,0.050,2.58984375,,0,0,0,0,0
kuglice,ACCEPTED,110,100.00%,100.00%,0.170,62.734375,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,100.00%,0.170,15.19921875,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,100.00%,0.110,0.00390625,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,100.00%,1.130,99.0078125,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,0.00%,13.33%,0.060,0,,0,0,0,0,0
mostovi,TIME_LIMIT_EXCEEDED,30,27.27%,56.78%,3.610,8.10546875,,13,17,0,0,0
TOTAL,,1045,,57.51%,,,48.00%,,,,,
