solution,status,score,%test passed,time,memory,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
2023-ho-t5_Modern_Machine_Qwen3-32B-Non-Thinking_0.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
2023-ho-t5_Modern_Machine_Qwen3-32B-Non-Thinking_0.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
2023-ho-t5_Modern_Machine_Qwen3-32B-Non-Thinking_0.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
2023-ho-t5_Modern_Machine_Qwen3-32B-Non-Thinking_0.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
2023-ho-t5_Modern_Machine_Qwen3-32B-Non-Thinking_0.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
2023-ho-t5_Modern_Machine_Qwen3-32B-Non-Thinking_0.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
2023-ho-t5_Modern_Machine_Qwen3-32B-Non-Thinking_2.cpp,TIME_LIMIT_EXCEEDED,3,45.36%,2.810,1.76171875,3,0,0,0,0,0,0
2023-ho-t5_Modern_Machine_Qwen3-32B-Non-Thinking_3.cpp,TIME_LIMIT_EXCEEDED,3,45.36%,2.770,1.87890625,3,0,0,0,0,0,0
2023-ho-t5_Modern_Machine_Qwen3-32B-Non-Thinking_5.cpp,RUNTIME_ERROR,0,0.00%,0.050,3.40234375,0,0,0,0,0,0,0
2023-ho-t5_Modern_Machine_Qwen3-32B-Non-Thinking_6.cpp,TIME_LIMIT_EXCEEDED,3,45.36%,2.760,1.87890625,3,0,0,0,0,0,0
2023-ho-t5_Modern_Machine_Qwen3-32B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0
