Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count
gemini-2.5-pro,308.00,51.33%,60.47%,16.67%,1.102,65.85,6
gpt-5,272.00,45.33%,54.54%,33.33%,0.428,13.40,6
claude-sonnet-4.5,255.00,51.00%,65.43%,0.00%,1.260,71.43,5
grok-4-fast-reasoning,251.00,50.20%,60.48%,20.00%,0.732,26.55,5
seed-oss_16384,218.00,,42.03%,16.67%,0.912,29.94,6
gpt-o3-mini-high,214.00,35.67%,39.44%,16.67%,0.745,238.86,6
gpt-oss-120b_sp2,201.00,33.50%,35.64%,16.67%,0.593,31.38,6
claude-haiku-4.5,175.00,35.00%,47.32%,0.00%,1.264,63.22,5
DeepSeek-R1-Distill-Llama-70B,147.00,24.50%,25.35%,0.00%,0.948,118.45,6
gemini-2.5-flash,144.00,24.00%,36.67%,0.00%,1.047,100.22,6
gpt-oss-20b-high,137.00,22.83%,29.83%,16.67%,0.263,16.50,6
gpt-oss-120b-high,136.00,22.67%,30.85%,16.67%,0.253,21.31,6
gpt-oss-120b_sp3,136.00,22.67%,30.99%,16.67%,0.415,14.74,6
gpt-oss-120b_sp4,136.00,22.67%,31.41%,16.67%,0.670,12.04,6
Qwen3-32B,134.00,22.33%,28.74%,0.00%,1.035,180.61,6
gpt-4.1,131.00,21.83%,27.42%,0.00%,0.925,122.56,6
gpt-oss-120b-low,129.00,21.50%,27.54%,16.67%,0.618,14.59,6
seed-oss_-1,125.00,20.83%,27.93%,0.00%,0.843,53.24,6
deepseek-chat,125.00,20.83%,33.02%,0.00%,0.865,27.48,6
gpt-oss-120b-medium,120.00,20.00%,25.91%,16.67%,0.250,12.68,6
gpt-oss-20b-medium,120.00,20.00%,27.31%,16.67%,0.297,15.14,6
gpt-oss-120b_sp1,120.00,20.00%,26.78%,16.67%,0.545,14.66,6
Qwen3-32B-Non-Thinking,113.00,18.83%,22.25%,0.00%,0.612,583.04,6
DeepSeek-R1-Distill-Qwen-14B,102.00,17.00%,17.21%,0.00%,0.392,19.20,6
deepseek-reasoner,102.00,17.00%,18.17%,0.00%,0.702,20.67,6
seed-oss_4096,97.00,,15.19%,0.00%,0.572,11.93,6
seed-oss_0,63.00,,10.61%,0.00%,0.195,15.34,6
DeepSeek-R1-Distill-Qwen-32B,60.00,10.00%,16.15%,0.00%,0.408,6.42,6
seed-oss_8192,58.00,,17.58%,0.00%,0.533,20.21,6
Qwen3-8B,50.00,8.33%,16.41%,0.00%,0.613,207.80,6
seed-oss_512,44.00,,5.89%,0.00%,0.092,4.32,6
Qwen3-14B,39.00,6.50%,11.92%,0.00%,0.372,14.52,6
Qwen3-14B-Non-Thinking,36.00,6.00%,15.42%,0.00%,0.602,405.11,6
DeepSeek-Coder-V2-Lite-Instruct,35.00,5.83%,14.01%,0.00%,0.342,2.54,6
Mistral-Large-Instruct-2411,31.00,6.20%,16.46%,0.00%,0.746,493.32,5
Qwen3-8B-Non-Thinking,31.00,5.17%,11.35%,0.00%,0.818,94.43,6
Qwen3-30B-Non-Thinking,29.00,4.83%,12.52%,0.00%,0.542,417.15,6
Codestral-22B-v0.1,26.00,4.33%,11.14%,0.00%,0.333,410.31,6
Qwen2.5-Coder-32B-Instruct,26.00,4.33%,10.94%,0.00%,0.483,396.02,6
Qwen3-30B,25.00,4.17%,9.83%,0.00%,0.180,13.83,6
Qwen3-4B,25.00,4.17%,9.83%,0.00%,0.362,99.15,6
gpt-oss-20b-low,24.00,4.00%,9.34%,0.00%,0.137,11.01,6
OpenCodeReasoning-Nemotron-32B-IOI,20.00,3.33%,3.86%,0.00%,0.050,3.65,6
QwQ-32B,20.00,3.33%,6.67%,0.00%,0.115,8.85,6
Llama-3.1-8B-Instruct,20.00,3.33%,6.23%,0.00%,0.248,11.65,6
seed-oss_1024,20.00,,6.78%,0.00%,0.352,14.35,6
seed-oss_2048,20.00,,4.57%,0.00%,0.365,14.78,6
Llama-4-Scout,20.00,3.33%,13.13%,0.00%,0.423,189.51,6
Qwen2.5-72B,16.00,2.67%,10.46%,0.00%,0.377,412.94,6
Mistral-Small-3.1-24B-2503,15.00,2.50%,5.70%,0.00%,0.808,42.53,6
OlympicCoder-7B,15.00,2.50%,7.44%,0.00%,0.840,5.62,6
Qwen3-4B-Non-Thinking,11.00,2.20%,8.98%,0.00%,0.380,14.69,5
Qwen2.5-Coder-14B-Instruct,11.00,1.83%,8.47%,0.00%,0.643,818.38,6
Qwen2.5-Coder-7B-Instruct,11.00,1.83%,7.69%,0.00%,0.820,76.71,6
Llama-3.3-70B-Instruct,11.00,1.83%,8.19%,0.00%,1.102,259.13,6
DeepSeek-R1-Distill-Llama-8B,4.00,0.67%,2.67%,0.00%,0.048,2.44,6
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,6
