problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8
2023-open-t1_Ancient_Machine_2,RUNTIME_ERROR,0,0.00%,0.00%,0.020,1.484375,,0,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton,TIME_LIMIT_EXCEEDED,16,16.00%,79.23%,7.200,928.90625,,4,12,0,0,0,0,0,0
2023-open-t3_Garden,TIME_LIMIT_EXCEEDED,0,0.00%,72.11%,2.410,12.9453125,,0,0,0,0,0,0,0,0
2023-sp_Two_Currencies,TIME_LIMIT_EXCEEDED,10,10.00%,62.16%,4.810,26.4296875,,10,0,0,0,0,0,0,0
2023-sp_Festivals_in_JOI_Kingdom_2,TIME_LIMIT_EXCEEDED,10,10.00%,71.91%,7.210,0.00390625,,5,5,0,0,0,0,0,0
2023-sp_Passport,TIME_LIMIT_EXCEEDED,0,0.00%,56.96%,2.410,20.16796875,,0,0,0,0,0,0,0,0
2023-sp_Belt_Conveyor,RUNTIME_ERROR,1,1.00%,16.13%,0.570,11.15234375,,1,0,0,0,0,0,0,0
2023-sp_Council,TIME_LIMIT_EXCEEDED,78,78.00%,96.90%,3.600,14.48046875,,8,8,6,19,15,22,0,0
2023-sp_Mizuyokan_2,TIME_LIMIT_EXCEEDED,15,15.00%,68.60%,3.610,141.6875,,6,9,0,0,0,0,0,0
2023-sp_Chorus,MEMORY_LIMIT_EXCEEDED,16,16.00%,54.24%,2.280,1226.29296875,,16,0,0,0,0,0,0,0
2023-sp_Cookies,RUNTIME_ERROR,13,13.00%,71.59%,0.850,8.9609375,,6,7,0,0,0,0,0,0
2023-sp_Tourism,TIME_LIMIT_EXCEEDED,28,28.00%,79.65%,4.820,17.5390625,,5,5,0,18,0,0,0,0
2023-sp_Security_Guard,RUNTIME_ERROR,0,0.00%,5.95%,0.080,30.22265625,,0,0,0,0,0,0,0,0
2023-sp_Bitaro’s_travel,TIME_LIMIT_EXCEEDED,15,15.00%,77.88%,2.410,12.125,,5,10,0,0,0,0,0,0
2023-ho-t1_Stone_Arranging_2,TIME_LIMIT_EXCEEDED,60,60.00%,86.78%,2.410,2.84765625,,25,35,0,0,0,0,0,0
2023-ho-t2_Advertisement_2,ACCEPTED,100,100.00%,100.00%,0.530,47.1875,,10,23,36,31,0,0,0,0
2023-ho-t3_Maze,TIME_LIMIT_EXCEEDED,27,27.00%,78.68%,2.410,10.57421875,,8,19,0,0,0,0,0,0
2023-ho-t4_Cat_Exercise,TIME_LIMIT_EXCEEDED,21,21.00%,80.54%,2.410,30.4296875,,7,7,7,0,0,0,0,0
2023-ho-t5_Modern_Machine,TIME_LIMIT_EXCEEDED,3,3.00%,45.36%,2.970,1.8125,,3,0,0,0,0,0,0,0
TOTAL,,413,,63.40%,,,5.26%,,,,,,,,
