Model,Total Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count
Codestral-22B-v0.1,2473.0,9.45%,3.47%,0.2661428571428571,32.72,347
DeepSeek-Coder-V2-Lite-Instruct,2186.0,8.73%,1.55%,0.4762857142857143,48.78071428571428,347
DeepSeek-R1-Distill-Llama-70B,15921.0,28.72%,12.25%,0.6102857142857143,50.15071428571429,426
DeepSeek-R1-Distill-Llama-8B,1063.0,1.57%,0.26%,0.10242857142857142,0.6192857142857143,309
DeepSeek-R1-Distill-Qwen-14B,10184.0,17.46%,5.89%,0.3513571428571428,16.042142857142856,421
DeepSeek-R1-Distill-Qwen-32B,16440.0,24.70%,8.10%,0.6502142857142857,22.067857142857143,421
DeepSeek-R1-Distill-Qwen-7B,0.0,0.04%,0.00%,0.0005,0.065,164
Llama-3.1-8B-Instruct,1557.0,7.80%,2.41%,0.11878571428571429,18.884999999999998,421
Llama-3.3-70B-Instruct,6637.0,18.14%,3.76%,0.8475,81.48642857142856,421
Llama-4-Scout,7143.0,15.19%,5.30%,0.42657142857142855,74.24214285714287,425
Mistral-Large-Instruct-2411,6137.0,16.27%,4.35%,0.5786428571428572,50.160714285714285,421
Mistral-Small-3.1-24B-2503,3000.0,12.12%,4.03%,0.495,24.07357142857143,347
QwQ-32B,21970.0,30.38%,14.80%,0.43150000000000005,18.259285714285713,421
Qwen2.5-72B,4500.0,14.52%,3.40%,0.4229285714285714,36.80142857142857,345
Qwen2.5-Coder-14B-Instruct,4828.0,14.09%,3.77%,0.5222857142857142,97.53785714285713,345
Qwen2.5-Coder-32B-Instruct,7400.0,18.15%,4.50%,0.6417142857142857,88.005,421
Qwen2.5-Coder-7B-Instruct,2731.0,7.42%,2.30%,0.27915384615384614,27.295384615384613,417
Qwen3-14B,21030.0,34.43%,19.16%,0.5033571428571428,42.455714285714286,352
Qwen3-14B-Non-Thinking,974.0,8.17%,1.29%,0.41135714285714287,69.24642857142858,113
Qwen3-30B,21216.0,31.52%,14.77%,0.6632857142857143,49.45642857142857,409
Qwen3-30B-Non-Thinking,8347.0,15.72%,3.95%,0.6153571428571428,71.4557142857143,424
Qwen3-32B,25887.0,41.92%,20.27%,0.7089285714285715,67.49071428571429,350
Qwen3-32B-Non-Thinking,1293.0,11.53%,1.44%,0.3682857142857143,88.715,123
Qwen3-4B,4161.0,21.69%,6.95%,0.5652142857142858,89.0442857142857,295
Qwen3-4B-Non-Thinking,4076.0,10.84%,3.87%,0.5127857142857143,53.777857142857144,422
Qwen3-8B,19218.0,29.26%,11.88%,0.651,70.13357142857143,425
Qwen3-8B-Non-Thinking,1626.0,10.28%,2.37%,0.446,55.28928571428571,224
deepseek-chat,16770.0,31.05%,12.13%,0.7145714285714285,42.10214285714285,421
deepseek-reasoner,27006.0,39.35%,22.10%,0.46785714285714286,32.955,346
gemini-2.5-flash,34338.0,51.63%,25.26%,0.9587857142857142,90.24785714285714,426
gemini-2.5-pro,40542.0,62.25%,34.28%,0.8693571428571429,105.58357142857143,426
gpt-4.1,18573.0,34.43%,13.52%,0.8695,57.49928571428571,426
gpt-5,52287.0,68.73%,52.02%,0.46642857142857147,40.15642857142858,426
gpt-o3-mini-high,39633.0,53.03%,32.29%,0.7188571428571429,61.24357142857143,426
gpt-oss-120b-high,8968.0,51.97%,36.90%,0.3457142857142857,60.92142857142858,190
gpt-oss-120b-low,8469.0,44.66%,30.70%,0.36657142857142855,36.480714285714285,254
gpt-oss-120b-medium,40647.0,49.67%,34.37%,0.3975,44.26285714285715,426
gpt-oss-20b-high,40510.0,52.47%,40.07%,0.33021428571428574,33.265,333
gpt-oss-20b-low,22407.0,35.91%,23.84%,0.3387857142857143,15.801428571428572,393
gpt-oss-20b-medium,35565.0,48.22%,35.07%,0.38899999999999996,22.340714285714284,386
seed-oss_-1,36272.0,47.22%,26.80%,0.7186428571428571,93.74785714285714,424
seed-oss_0,4903.0,15.93%,10.33%,0.1692857142857143,13.807857142857143,396
seed-oss_1024,7806.0,18.17%,11.03%,0.19842857142857143,15.008571428571429,322
seed-oss_16384,5082.0,32.80%,17.65%,0.46314285714285713,41.395714285714284,178
seed-oss_2048,9493.0,19.73%,11.72%,0.1562142857142857,39.64357142857143,322
seed-oss_4096,2625.0,28.51%,20.80%,0.29207142857142854,24.865714285714287,190
seed-oss_512,6508.0,14.94%,8.54%,0.12564285714285714,23.104285714285712,311
seed-oss_8192,27500.0,36.54%,20.70%,0.5459285714285714,39.61071428571428,425
