problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
vrsar,TIME_LIMIT_EXCEEDED,0,3.12%,1.120,3.36328125,,0,0,0,0,0
milano,RUNTIME_ERROR,0,2.38%,0.140,2.84765625,,0,0,0,0,0
restorani,TIME_LIMIT_EXCEEDED,0,0.68%,2.230,34.7890625,,0,0,0,0,0
cesta,TIME_LIMIT_EXCEEDED,0,0.92%,3.610,8.7734375,,0,0,0,0,0
zlagalica,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
bitovi,RUNTIME_ERROR,0,0.00%,0.060,1.5546875,,0,0,0,0,0
piratski,WRONG_ANSWER,0,0.00%,0.000,0,,0,0,0,0,0
rolete,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.060,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,RUNTIME_ERROR,7,25.00%,0.280,2.7890625,,7,0,0,0,0
lepeze,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
putovanje,TIME_LIMIT_EXCEEDED,0,2.88%,2.230,4.390625,,0,0,0,0,0
roboti,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
pahuljice,ACCEPTED,50,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,0.080,9.8046875,,7,16,22,25,0
dizalo,TIME_LIMIT_EXCEEDED,0,0.00%,3.310,2.0703125,,0,0,0,0,0
kuglice,RUNTIME_ERROR,0,12.16%,0.000,0,,0,0,0,0,0
zatopljenje,TIME_LIMIT_EXCEEDED,10,42.50%,2.220,2.07421875,,10,0,0,0,0
sudoku,RUNTIME_ERROR,0,45.71%,0.000,0,,0,0,0,0,0
labirint,RUNTIME_ERROR,24,37.50%,0.670,2.3046875,,11,13,0,0,0
an2dl,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
kocke,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
mostovi,TIME_LIMIT_EXCEEDED,30,56.78%,3.500,10.328125,,13,17,0,0,0
TOTAL,,241,21.19%,,,12.00%,,,,,
