Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,2023-sp_Belt_Conveyor,2023-sp_Belt_Conveyor_rel,2023-sp_Bitaro’s_travel,2023-sp_Bitaro’s_travel_rel,2023-sp_Chorus,2023-sp_Chorus_rel,2023-sp_Cookies,2023-sp_Cookies_rel,2023-sp_Council,2023-sp_Council_rel,2023-sp_Festivals_in_JOI_Kingdom_2,2023-sp_Festivals_in_JOI_Kingdom_2_rel,2023-sp_Mizuyokan_2,2023-sp_Mizuyokan_2_rel,2023-sp_Passport,2023-sp_Passport_rel,2023-sp_Security_Guard,2023-sp_Security_Guard_rel,2023-sp_Super_Dango_Maker,2023-sp_Super_Dango_Maker_rel,2023-sp_Tourism,2023-sp_Tourism_rel,2023-sp_Two_Currencies,2023-sp_Two_Currencies_rel
gpt-5,491.00,,60.09%,33.33%,0.603,21.52,12,25.00,,100.00,,0.00,,0.00,,100.00,,10.00,,0.00,,6.00,,50.00,,0.00,,100.00,,100.00,
gpt-oss-120b-high,370.00,,48.79%,25.00%,0.554,34.91,12,1.00,,0.00,,0.00,,13.00,,100.00,,0.00,,0.00,,6.00,,50.00,,0.00,,100.00,,100.00,
gemini-2.5-pro,351.00,,53.52%,16.67%,0.781,133.82,12,1.00,,15.00,,0.00,,85.00,,100.00,,0.00,,0.00,,22.00,,0.00,,0.00,,28.00,,100.00,
gpt-oss-120b-medium,307.00,25.58%,42.81%,25.00%,0.500,22.73,12,1.00,1.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,6.00,6.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%
gpt-o3-mini-high,278.00,,49.90%,16.67%,0.818,14.83,12,0.00,,15.00,,0.00,,13.00,,100.00,,0.00,,0.00,,22.00,,0.00,,0.00,,28.00,,100.00,
gpt-oss-20b-medium,239.00,,38.33%,18.18%,0.502,12.12,11,0.00,,5.00,,0.00,,100.00,,0.00,,N/A,,0.00,,6.00,,0.00,,0.00,,28.00,,100.00,
gpt-oss-120b-low,220.00,,30.69%,16.67%,0.224,11.26,12,1.00,,0.00,,0.00,,13.00,,100.00,,0.00,,0.00,,6.00,,0.00,,0.00,,0.00,,100.00,
gemini-2.5-flash,217.00,,48.83%,8.33%,1.235,27.55,12,1.00,,15.00,,0.00,,13.00,,41.00,,0.00,,6.00,,6.00,,0.00,,0.00,,35.00,,100.00,
gpt-oss-20b-high,147.00,,45.09%,12.50%,0.840,84.89,8,0.00,,N/A,,N/A,,13.00,,0.00,,N/A,,N/A,,6.00,,0.00,,0.00,,28.00,,100.00,
Qwen3-8B,147.00,,31.58%,8.33%,0.913,2.60,12,0.00,,15.00,,0.00,,100.00,,16.00,,0.00,,0.00,,6.00,,0.00,,0.00,,10.00,,0.00,
deepseek-reasoner,129.00,,41.34%,0.00%,1.289,10.08,12,1.00,,15.00,,0.00,,13.00,,56.00,,0.00,,0.00,,6.00,,0.00,,0.00,,28.00,,10.00,
seed-oss_4096,122.00,,23.46%,8.33%,0.368,5.24,12,0.00,,0.00,,0.00,,100.00,,16.00,,0.00,,0.00,,6.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_8192,105.00,,41.74%,0.00%,1.319,12.52,12,1.00,,15.00,,0.00,,7.00,,8.00,,0.00,,0.00,,6.00,,0.00,,0.00,,28.00,,40.00,
seed-oss_-1,97.00,,38.79%,0.00%,0.976,8.80,12,1.00,,15.00,,0.00,,6.00,,41.00,,0.00,,0.00,,6.00,,0.00,,0.00,,28.00,,0.00,
gpt-4.1,91.00,,40.61%,0.00%,1.314,18.74,12,1.00,,15.00,,0.00,,13.00,,41.00,,0.00,,0.00,,6.00,,0.00,,0.00,,5.00,,10.00,
QwQ-32B,68.00,,29.04%,0.00%,0.588,80.25,12,0.00,,15.00,,0.00,,6.00,,41.00,,0.00,,0.00,,6.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-30B,62.00,,36.57%,0.00%,0.985,8.08,12,1.00,,15.00,,0.00,,13.00,,22.00,,0.00,,0.00,,6.00,,0.00,,0.00,,5.00,,0.00,
deepseek-chat,53.00,,27.80%,0.00%,1.267,8.89,12,1.00,,0.00,,0.00,,0.00,,8.00,,0.00,,0.00,,6.00,,0.00,,0.00,,28.00,,10.00,
Qwen3-4B,50.00,,24.17%,0.00%,0.509,3.46,12,0.00,,15.00,,0.00,,13.00,,16.00,,0.00,,0.00,,6.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,48.00,,18.52%,0.00%,0.347,4.58,12,1.00,,0.00,,0.00,,0.00,,41.00,,0.00,,0.00,,6.00,,0.00,,0.00,,0.00,,0.00,
gpt-oss-20b-low,47.00,,23.16%,0.00%,0.858,7.65,10,0.00,,N/A,,0.00,,13.00,,0.00,,0.00,,0.00,,6.00,,N/A,,0.00,,28.00,,0.00,
Qwen2.5-Coder-32B-Instruct,46.00,,21.77%,0.00%,0.787,4.76,12,1.00,,0.00,,0.00,,6.00,,16.00,,0.00,,0.00,,0.00,,0.00,,0.00,,23.00,,0.00,
seed-oss_16384,29.00,,26.31%,0.00%,0.587,35.58,12,1.00,,15.00,,0.00,,7.00,,0.00,,0.00,,0.00,,6.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,28.00,,22.12%,0.00%,0.695,8.04,12,1.00,,5.00,,0.00,,0.00,,16.00,,0.00,,0.00,,6.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,22.00,,16.93%,0.00%,0.761,3.39,12,1.00,,5.00,,0.00,,0.00,,16.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,21.00,,17.96%,0.00%,0.581,5.67,12,0.00,,5.00,,0.00,,0.00,,16.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-72B,16.00,,12.51%,0.00%,0.271,4.10,12,1.00,,15.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,15.00,,9.98%,0.00%,0.253,3.02,12,0.00,,15.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,15.00,,11.51%,0.00%,0.682,105.83,12,1.00,,0.00,,0.00,,0.00,,8.00,,0.00,,0.00,,6.00,,0.00,,0.00,,0.00,,0.00,
Codestral-22B-v0.1,8.00,,9.15%,0.00%,0.372,94.58,12,0.00,,0.00,,0.00,,0.00,,8.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_0,7.00,,11.41%,0.00%,0.023,1.33,12,1.00,,0.00,,0.00,,6.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_1024,7.00,,9.08%,0.00%,0.023,1.23,12,1.00,,0.00,,0.00,,6.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-4-Scout,6.00,,10.36%,0.00%,0.554,1.33,12,1.00,,5.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.3-70B-Instruct,6.00,,11.53%,0.00%,0.606,76.14,12,1.00,,5.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,5.00,,7.23%,0.00%,0.245,2.88,12,0.00,,5.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,5.00,,9.29%,0.00%,0.253,1.70,12,0.00,,5.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,5.00,,9.52%,0.00%,0.254,10.88,12,0.00,,5.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_2048,1.00,,8.11%,0.00%,0.063,1.59,12,1.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-32B,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,0.00,,N/A,,N/A,
Qwen3-14B,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,0.00,,N/A,,N/A,,N/A,
Qwen3-32B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,0.00,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
Qwen3-8B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,0.00,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
