Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,opening_offices,opening_offices_rel,square_grid_puzzle,square_grid_puzzle_rel,team_building,team_building_rel,teleporters,teleporters_rel,tree_infection,tree_infection_rel,tree_search,tree_search_rel
gpt-5,423.00,,73.22%,66.67%,0.205,29.54,6,23.00,,0.00,,100.00,,100.00,,100.00,,100.00,
gpt-oss-120b-high,400.00,,67.49%,66.67%,0.217,44.92,6,0.00,,0.00,,100.00,,100.00,,100.00,,100.00,
gpt-oss-20b-high,245.00,,60.71%,50.00%,0.397,6.82,4,N/A,,0.00,,45.00,,100.00,,N/A,,100.00,
gpt-o3-mini-high,227.00,,40.96%,16.67%,0.463,30.03,6,18.00,,0.00,,60.00,,100.00,,49.00,,0.00,
gpt-oss-120b-medium,220.00,36.67%,41.59%,33.33%,0.385,35.50,6,5.00,5.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,15.00,15.00%,100.00,100.00%
gemini-2.5-pro,203.00,,44.19%,16.67%,0.688,71.11,6,41.00,,0.00,,100.00,,26.00,,36.00,,0.00,
gemini-2.5-flash,162.00,,30.59%,0.00%,0.757,82.41,6,18.00,,0.00,,45.00,,79.00,,20.00,,0.00,
gpt-oss-20b-medium,160.00,,31.90%,20.00%,0.352,24.81,5,N/A,,0.00,,45.00,,100.00,,15.00,,0.00,
QwQ-32B,118.00,,23.96%,0.00%,0.705,65.01,6,18.00,,0.00,,45.00,,5.00,,15.00,,35.00,
seed-oss_-1,113.00,,22.33%,0.00%,0.457,415.72,6,18.00,,0.00,,60.00,,20.00,,15.00,,0.00,
deepseek-reasoner,107.00,,22.75%,0.00%,0.457,402.03,6,27.00,,0.00,,45.00,,20.00,,15.00,,0.00,
gpt-oss-120b-low,95.00,,16.59%,0.00%,0.472,17.35,6,5.00,,0.00,,51.00,,9.00,,0.00,,30.00,
seed-oss_16384,92.00,,19.21%,0.00%,0.652,417.72,6,9.00,,0.00,,45.00,,23.00,,15.00,,0.00,
Qwen3-32B,87.00,,22.57%,0.00%,0.678,379.67,6,22.00,,0.00,,60.00,,5.00,,0.00,,0.00,
Qwen3-14B,79.00,,14.88%,0.00%,0.767,35.72,6,9.00,,0.00,,45.00,,5.00,,20.00,,0.00,
Qwen3-4B,68.00,,13.47%,0.00%,0.657,424.87,6,18.00,,0.00,,45.00,,5.00,,0.00,,0.00,
Qwen3-30B,68.00,,16.21%,0.00%,0.792,382.71,6,18.00,,0.00,,45.00,,5.00,,0.00,,0.00,
gpt-oss-20b-low,60.00,,12.33%,0.00%,0.262,12.91,6,0.00,,0.00,,45.00,,15.00,,0.00,,0.00,
Qwen3-8B,59.00,,14.03%,0.00%,0.810,39.11,6,9.00,,0.00,,45.00,,5.00,,0.00,,0.00,
Llama-3.3-70B-Instruct,51.00,,16.33%,0.00%,0.633,159.89,6,0.00,,0.00,,11.00,,5.00,,0.00,,35.00,
DeepSeek-R1-Distill-Qwen-32B,50.00,,11.01%,0.00%,0.603,9.82,6,0.00,,0.00,,45.00,,5.00,,0.00,,0.00,
seed-oss_8192,45.00,,6.38%,0.00%,0.222,11.93,6,0.00,,0.00,,45.00,,0.00,,0.00,,0.00,
deepseek-chat,43.00,,11.29%,0.00%,0.750,62.53,6,18.00,,0.00,,0.00,,5.00,,20.00,,0.00,
Qwen2.5-Coder-32B-Instruct,25.00,,7.24%,0.00%,0.608,19.08,6,0.00,,0.00,,0.00,,5.00,,20.00,,0.00,
Llama-4-Scout,20.00,,5.95%,0.00%,0.422,2.11,6,0.00,,0.00,,0.00,,0.00,,0.00,,20.00,
DeepSeek-R1-Distill-Qwen-14B,16.00,,5.91%,0.00%,0.382,1.52,6,0.00,,0.00,,11.00,,5.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,16.00,,6.22%,0.00%,0.577,10.09,6,0.00,,0.00,,11.00,,5.00,,0.00,,0.00,
gpt-4.1,14.00,,9.71%,0.00%,0.773,55.58,6,9.00,,0.00,,0.00,,5.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,5.00,,2.49%,0.00%,0.192,1.06,6,0.00,,0.00,,0.00,,5.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,5.00,,2.74%,0.00%,0.193,0.42,6,0.00,,0.00,,0.00,,5.00,,0.00,,0.00,
Qwen2.5-72B,5.00,,6.34%,0.00%,0.253,17.65,6,0.00,,0.00,,0.00,,5.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,5.00,,4.38%,0.00%,0.383,0.76,6,0.00,,0.00,,0.00,,5.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,5.00,,2.76%,0.00%,0.395,20.07,6,0.00,,0.00,,0.00,,5.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,5.00,,5.74%,0.00%,0.398,11.37,6,0.00,,0.00,,0.00,,5.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,5.00,,3.86%,0.00%,0.412,6.21,6,0.00,,0.00,,0.00,,5.00,,0.00,,0.00,
Qwen3-32B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,0.00,,N/A,,N/A,,N/A,,N/A,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_2048,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_4096,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_0,0.00,,0.27%,0.00%,0.008,2.94,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,0.00,,0.27%,0.00%,0.018,0.52,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_512,0.00,,1.59%,0.00%,0.028,14.05,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Codestral-22B-v0.1,0.00,,0.27%,0.00%,0.035,14.55,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,0.00,,0.40%,0.00%,0.200,0.95,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,0.00,,0.55%,0.00%,0.202,4.68,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_1024,0.00,,1.13%,0.00%,0.222,22.90,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,0.00,,0.77%,0.00%,0.395,366.94,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
