solution,status,score,relative_score,%test passed,time,memory,subtask_1,subtask_2,subtask_3,subtask_4
2023-sp_Belt_Conveyor_gpt-oss-120b_0.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,0.030,4.23046875,0,0,0,0
2023-sp_Belt_Conveyor_gpt-oss-120b_1.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,0.020,4.33203125,0,0,0,0
2023-sp_Belt_Conveyor_gpt-oss-120b_1.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,0.020,4.33203125,0,0,0,0
2023-sp_Belt_Conveyor_gpt-oss-120b_1.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,0.020,4.33203125,0,0,0,0
2023-sp_Belt_Conveyor_gpt-oss-120b_1.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,0.020,4.33203125,0,0,0,0
2023-sp_Belt_Conveyor_gpt-oss-120b_1.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,0.020,4.33203125,0,0,0,0
2023-sp_Belt_Conveyor_gpt-oss-120b_2.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.030,4.56640625,0,0,0,0
2023-sp_Belt_Conveyor_gpt-oss-120b_3.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,0.030,4.2890625,0,0,0,0
2023-sp_Belt_Conveyor_gpt-oss-120b_4.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.040,4.56640625,0,0,0,0
2023-sp_Belt_Conveyor_gpt-oss-120b_6.cpp,RUNTIME_ERROR,1,1.00%,12.90%,0.630,6.69140625,1,0,0,0
2023-sp_Belt_Conveyor_gpt-oss-120b_7.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.030,4.45703125,0,0,0,0
