problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,gpt-oss-120b_sp2,ACCEPTED,100,100.00%,100.00%,0.400,72.55859375
2023-sp_Festivals_in_JOI_Kingdom_2,gpt-oss-120b_sp2,RUNTIME_ERROR,0,0.00%,24.00%,0.000,0
2023-sp_Passport,gpt-oss-120b_sp2,RUNTIME_ERROR,6,6.00%,43.28%,0.290,110.85546875
2023-sp_Belt_Conveyor,gpt-oss-120b_sp2,RUNTIME_ERROR,1,1.00%,12.90%,0.630,6.69140625
2023-sp_Council,gpt-oss-120b_sp2,ACCEPTED,100,100.00%,100.00%,0.560,27.078125
2023-sp_Mizuyokan_2,gpt-oss-120b_sp2,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Chorus,gpt-oss-120b_sp2,RUNTIME_ERROR,0,0.00%,50.85%,0.020,0.00390625
2023-sp_Cookies,gpt-oss-120b_sp2,RUNTIME_ERROR,13,13.00%,72.96%,0.020,1.80859375
2023-sp_Tourism,gpt-oss-120b_sp2,TIME_LIMIT_EXCEEDED,35,35.00%,88.28%,4.810,27.59375
2023-sp_Super_Dango_Maker,gpt-oss-120b_sp2,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Security_Guard,gpt-oss-120b_sp2,RUNTIME_ERROR,0,0.00%,5.95%,0.030,4.39453125
2023-sp_Bitaro’s_travel,gpt-oss-120b_sp2,TIME_LIMIT_EXCEEDED,5,5.00%,56.82%,2.410,5.94140625
