Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,s1,s1_rel,s2,s2_rel,s3,s3_rel,s4,s4_rel,s5,s5_rel
gpt-oss-120b-high,47.00,,65.66%,60.00%,0.054,6.54,5,15.00,,15.00,,0.00,,15.00,,2.00,
gpt-oss-120b-low,45.00,,63.54%,60.00%,0.050,7.26,5,15.00,,15.00,,0.00,,15.00,,0.00,
gpt-5,45.00,,63.01%,60.00%,0.068,10.62,5,15.00,,15.00,,0.00,,15.00,,0.00,
gpt-o3-mini-high,34.00,,47.21%,40.00%,0.044,3.91,5,15.00,,15.00,,2.00,,0.00,,2.00,
gemini-2.5-pro,34.00,,48.85%,40.00%,0.276,5.04,5,15.00,,15.00,,2.00,,0.00,,2.00,
gpt-oss-20b-medium,32.00,,43.54%,40.00%,0.046,7.37,5,15.00,,15.00,,2.00,,0.00,,0.00,
gemini-2.5-flash,32.00,,47.26%,40.00%,0.274,5.24,5,15.00,,15.00,,2.00,,0.00,,0.00,
gpt-oss-20b-high,32.00,,47.21%,40.00%,0.286,10.19,5,15.00,,15.00,,2.00,,0.00,,0.00,
seed-oss_-1,30.00,,53.10%,50.00%,0.030,1.92,4,15.00,,15.00,,N/A,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,30.00,,50.66%,50.00%,0.120,5.90,4,15.00,,15.00,,N/A,,0.00,,0.00,
Qwen2.5-72B,30.00,,54.48%,50.00%,0.160,6.10,4,15.00,,15.00,,N/A,,0.00,,0.00,
seed-oss_8192,30.00,,42.48%,40.00%,0.020,2.00,5,15.00,,15.00,,0.00,,0.00,,0.00,
seed-oss_1024,30.00,,40.88%,40.00%,0.028,2.38,5,15.00,,15.00,,0.00,,0.00,,0.00,
deepseek-reasoner,30.00,,43.94%,40.00%,0.046,4.58,5,15.00,,15.00,,0.00,,0.00,,0.00,
Qwen3-32B,30.00,,42.88%,40.00%,0.052,4.84,5,15.00,,15.00,,0.00,,0.00,,0.00,
Qwen3-32B-Non-Thinking,30.00,,40.93%,40.00%,0.054,10.49,5,15.00,,15.00,,0.00,,0.00,,0.00,
Qwen3-4B,30.00,,43.23%,40.00%,0.060,4.61,5,15.00,,15.00,,0.00,,0.00,,0.00,
gpt-4.1,30.00,,42.88%,40.00%,0.070,5.72,5,15.00,,15.00,,0.00,,0.00,,0.00,
Qwen3-8B,30.00,,41.11%,40.00%,0.070,4.75,5,15.00,,15.00,,0.00,,0.00,,0.00,
deepseek-chat,30.00,,42.48%,40.00%,0.072,5.11,5,15.00,,15.00,,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,30.00,,40.35%,40.00%,0.076,4.64,5,15.00,,15.00,,0.00,,0.00,,0.00,
Qwen3-14B,30.00,,42.88%,40.00%,0.080,4.58,5,15.00,,15.00,,0.00,,0.00,,0.00,
QwQ-32B,30.00,,41.46%,40.00%,0.082,4.74,5,15.00,,15.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,30.00,,40.53%,40.00%,0.084,2.33,5,15.00,,15.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,30.00,,42.83%,40.00%,0.088,1.66,5,15.00,,15.00,,0.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,30.00,,42.12%,40.00%,0.090,2.25,5,15.00,,15.00,,0.00,,0.00,,0.00,
Codestral-22B-v0.1,30.00,,40.40%,40.00%,0.112,3.42,5,15.00,,15.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,30.00,,40.75%,40.00%,0.114,8.60,5,15.00,,15.00,,0.00,,0.00,,0.00,
Qwen3-30B,30.00,,44.12%,40.00%,0.120,4.75,5,15.00,,15.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,30.00,,43.23%,40.00%,0.124,4.90,5,15.00,,15.00,,0.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,30.00,,40.53%,40.00%,0.154,2.42,5,15.00,,15.00,,0.00,,0.00,,0.00,
Llama-4-Scout,30.00,,40.93%,40.00%,0.158,4.62,5,15.00,,15.00,,0.00,,0.00,,0.00,
Llama-3.3-70B-Instruct,30.00,,40.93%,40.00%,0.196,5.11,5,15.00,,15.00,,0.00,,0.00,,0.00,
gpt-oss-120b-medium,30.00,40.00%,44.12%,40.00%,0.272,3.14,5,15.00,100.00%,15.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,30.00,,40.53%,40.00%,0.294,1.89,5,15.00,,15.00,,0.00,,0.00,,0.00,
seed-oss_0,25.00,,35.33%,20.00%,0.038,2.36,5,10.00,,15.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,20.00,,26.84%,20.00%,0.118,6.97,5,15.00,,5.00,,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,17.00,,27.98%,20.00%,0.356,5.98,5,15.00,,2.00,,0.00,,0.00,,0.00,
seed-oss_512,16.00,,26.70%,20.00%,0.036,4.03,5,1.00,,15.00,,0.00,,0.00,,0.00,
gpt-oss-20b-low,15.00,100.00%,100.00%,100.00%,0.100,5.11,1,15.00,100.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Llama-3.1-8B-Instruct,15.00,,23.32%,20.00%,0.070,5.13,5,15.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,15.00,,20.93%,20.00%,0.114,5.05,5,15.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_16384,0.00,,0.00%,0.00%,0.000,0.00,1,0.00,,N/A,,N/A,,N/A,,N/A,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,0.00,,N/A,,N/A,
seed-oss_4096,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,0.00,,N/A,,N/A,
Qwen3-14B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,0.00,,N/A,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,0.00,,N/A,,N/A,
seed-oss_2048,0.00,,0.00%,0.00%,0.030,0.00,1,N/A,,N/A,,0.00,,N/A,,N/A,
