problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,39,0,0,0
dirigent,ACCEPTED,70,100.00%,100.00%,0.060,4.91015625,,15,20,35,0,0
baltazar,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.00%,0.000,0.00390625,,0,0,0,0,0
bomboni,ACCEPTED,110,100.00%,100.00%,0.100,3.359375,,13,17,33,47,0
skrivaca,RUNTIME_ERROR,55,50.00%,51.06%,0.300,83.1484375,,0,25,30,0,0
kalendar,ACCEPTED,50,100.00%,100.00%,0.000,0,,7,19,24,0,0
diskurs,ACCEPTED,70,100.00%,100.00%,0.150,12.90234375,,20,25,25,0,0
logaritam,ACCEPTED,110,100.00%,100.00%,0.010,1.55859375,,19,26,29,36,0
slasticarnica,ACCEPTED,110,100.00%,100.00%,0.930,3.2578125,,21,31,58,0,0
zastave,ACCEPTED,110,100.00%,100.00%,0.050,2.07421875,,41,22,47,0,0
7krokods,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
zrinka,ACCEPTED,70,100.00%,100.00%,0.160,96.94921875,,15,20,15,20,0
bojanje,ACCEPTED,110,100.00%,100.00%,0.010,0.00390625,,30,40,40,0,0
mreza,ACCEPTED,110,100.00%,100.00%,1.050,28.98828125,,21,29,60,0,0
vrsta,ACCEPTED,110,100.00%,100.00%,0.100,7.484375,,19,26,29,36,0
tramvaji,ACCEPTED,50,100.00%,100.00%,0.010,0.00390625,,12,13,25,0,0
ekspert,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
lampice,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
prijateljice,ACCEPTED,110,100.00%,100.00%,0.020,7.484375,,20,30,60,0,0
kruhologija,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,100.00%,0.010,0,,5,15,30,0,0
cokolade,ACCEPTED,70,100.00%,100.00%,0.060,2.84765625,,15,20,35,0,0
berilij,RUNTIME_ERROR,0,0.00%,9.09%,0.110,12.984375,,0,0,0,0,0
iksevi,ACCEPTED,110,100.00%,100.00%,0.320,43.27734375,,15,55,40,0,0
neboderi,ACCEPTED,110,100.00%,100.00%,0.130,13.87109375,,11,22,27,18,32
TOTAL,,1635,,74.41%,,,72.00%,,,,,
