problem,model,status,score,relative_score,%test passed,time,memory
2024-sp_Fish_3,Qwen3-4B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Ski_2,Qwen3-4B-Non-Thinking,RUNTIME_ERROR,0,0.00%,0.00%,0.160,0.00390625
2024-sp_Spy_3,Qwen3-4B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Board_Game,Qwen3-4B-Non-Thinking,RUNTIME_ERROR,0,0.00%,2.56%,0.280,253.6875
2024-sp_Tricolor_Lights,Qwen3-4B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,Qwen3-4B-Non-Thinking,RUNTIME_ERROR,0,0.00%,4.60%,0.000,0
2024-sp_Card_Collection,Qwen3-4B-Non-Thinking,RUNTIME_ERROR,0,0.00%,3.10%,0.000,0
2024-sp_JOI_Tour,Qwen3-4B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Tower,Qwen3-4B-Non-Thinking,RUNTIME_ERROR,0,0.00%,0.00%,1.090,2.84765625
2024-sp_Escape_Route_2,Qwen3-4B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Island_Hopping,Qwen3-4B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Table_Tennis,Qwen3-4B-Non-Thinking,UNKNOWN,0,0.00%,0.00%,0.000,0
