problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,RUNTIME_ERROR,10,12.73%,0.160,26.53515625,,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,ACCEPTED,100,100.00%,0.160,20.66796875,,0.0,14.0,0,0,0,0,0,19.0,17.0,21.0,15.0,14.0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,4,13.04%,0.100,2.09375,,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,0.530,11.1484375,,0.0,13.0,10.0,7.0,0,0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,10,25.93%,0.320,36.8828125,,0.0,0,0,0,0,0,0,0,0,10.0,0,0,0,0,0
Order_Statistics,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,RUNTIME_ERROR,68,58.28%,0.160,18.0546875,,0.0,23.0,0,0,0,0,0,10.0,16.0,19.0,0,0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,0.100,0,,0.0,11.0,0,0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,MEMORY_LIMIT_EXCEEDED,0,4.10%,0.420,270.6484375,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Road_Lighting,TIME_LIMIT_EXCEEDED,24,58.02%,2.210,23.50390625,,0.0,14.0,0,0,0,0,0,0,10.0,0,0,0,0,0,0
Repainting_the_Table,TIME_LIMIT_EXCEEDED,17,83.43%,1.690,29.07421875,,0.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,TIME_LIMIT_EXCEEDED,30,53.94%,3.330,43.58203125,,0.0,10.0,0,0,0,0,0,7.0,13.0,0,0,0,0,0,0
Classic_Tree_Problem,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,ACCEPTED,100,100.00%,0.290,160.1171875,,0.0,8.0,11.0,0,0,0,0,7.0,9.0,15.0,8.0,6.0,7.0,10.0,19.0
Stone_Enthusiast,ACCEPTED,100,100.00%,0.340,22.12109375,,0.0,16.0,0,0,0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,TIME_LIMIT_EXCEEDED,0,6.14%,2.210,48.87890625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ultrafast_train,RUNTIME_ERROR,42,85.96%,0.140,8.6015625,,0.0,17.0,0,0,0,0,0,13.0,12.0,0,0,0,0,0,0
TOTAL,,705,53.03%,,,29.41%,,,,,,,,,,,,,,,
