problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,ACCEPTED,50,100.00%,0.000,0,,9,19,22,0,0,0
karte,ACCEPTED,70,100.00%,0.080,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,5.80%,0.030,0.00390625,,0,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,0.690,119.69140625,,21,37,22,40,0,0
procesor,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,0.000,0,,21,13,16,0,0,0
zid,ACCEPTED,70,100.00%,0.280,2.5859375,,17,21,32,0,0,0
tornjevi,ACCEPTED,90,100.00%,0.170,20.6328125,,7,11,17,29,26,0
crtez,RUNTIME_ERROR,0,8.51%,0.250,40.99609375,,0,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,2.050,207.29296875,,15,15,45,45,0,0
sah,ACCEPTED,50,100.00%,0.050,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,0.080,3.89453125,,15,30,25,0,0,0
xor,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,TIME_LIMIT_EXCEEDED,44,35.48%,2.230,45.234375,,17,27,0,0,0,0
tura,RUNTIME_ERROR,0,28.06%,0.080,5.36328125,,0,0,0,0,0,0
paradoks,ACCEPTED,50,100.00%,0.000,0,,10,10,30,0,0,0
igre,TIME_LIMIT_EXCEEDED,42,63.27%,2.210,94.8828125,,6,13,23,0,0,0
razlicitost,RUNTIME_ERROR,47,74.42%,0.450,253.4296875,,25,13,9,0,0,0
blistavost,ACCEPTED,120,100.00%,0.040,3.87109375,,20,25,55,20,0,0
trokuti,RUNTIME_ERROR,13,25.96%,0.040,3.875,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,0.110,12.125,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,0.280,22.4765625,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,35,32.79%,0.070,21.76953125,,0,0,35,0,0,0
zbunjenost,ACCEPTED,120,100.00%,0.350,82.36328125,,13,18,34,15,40,0
TOTAL,,1371,70.97%,,,60.00%,,,,,,
