competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,gemini-2.5-flash,34338,53.74%,0.98,90.68,27.82%
APIO-2023,gemini-2.5-flash,144,67.98%,1.69,106.37,0.00%
APIO-2024,gemini-2.5-flash,0,5.36%,0.37,76.71,0.00%
BOI-2023,gemini-2.5-flash,92,51.12%,1.30,11.38,0.00%
BOI-2024,gemini-2.5-flash,229,59.43%,1.16,65.40,16.67%
BOI-2025,gemini-2.5-flash,87,25.83%,0.51,133.07,0.00%
CCO-2023,gemini-2.5-flash,132,56.20%,0.51,80.34,43.75%
CCO-2024,gemini-2.5-flash,160,60.36%,0.91,86.15,56.25%
CEOI-2023,gemini-2.5-flash,45,23.86%,2.40,56.59,0.00%
CEOI-2024,gemini-2.5-flash,219,67.22%,1.41,298.77,16.67%
COCI-2023,gemini-2.5-flash,1601,80.46%,0.43,32.38,72.00%
COCI-2024,gemini-2.5-flash,1329,68.22%,0.56,46.82,56.00%
COCI-2025,gemini-2.5-flash,1371,70.97%,0.38,37.62,60.00%
EGOI-2023,gemini-2.5-flash,346,46.67%,0.46,17.44,37.50%
EGOI-2024,gemini-2.5-flash,191,38.74%,0.36,160.52,12.50%
EJOI-2023,gemini-2.5-flash,162,30.59%,0.76,82.41,0.00%
EJOI-2024,gemini-2.5-flash,353,65.65%,0.66,38.27,50.00%
IATI-2024,gemini-2.5-flash,378,43.00%,0.48,48.55,18.18%
IOI-2023,gemini-2.5-flash,63,20.68%,1.01,63.52,0.00%
IOI-2024,gemini-2.5-flash,112,39.91%,1.08,381.63,0.00%
JOI-2023,gemini-2.5-flash,463,49.54%,1.36,75.50,15.00%
JOI-2024,gemini-2.5-flash,442,38.71%,1.46,46.50,5.00%
JOI-2025,gemini-2.5-flash,256,67.48%,1.30,265.07,40.00%
NOINordic-2023,gemini-2.5-flash,222,88.58%,1.56,43.95,66.67%
NOINordic-2024,gemini-2.5-flash,137,63.75%,0.24,36.34,33.33%
NOINordic-2025,gemini-2.5-flash,225,87.15%,1.69,20.26,66.67%
OOI-2023,gemini-2.5-flash,874,65.98%,1.39,93.57,29.41%
OOI-2024,gemini-2.5-flash,827,62.10%,1.42,112.71,29.41%
RMI-2023,gemini-2.5-flash,214,56.79%,0.89,98.34,16.67%
RMI-2024,gemini-2.5-flash,189,47.53%,0.64,96.84,16.67%
USACO-2023,gemini-2.5-flash,8977,59.32%,1.07,55.43,47.92%
USACO-2024,gemini-2.5-flash,8374,56.17%,0.87,79.76,39.58%
USACO-2025,gemini-2.5-flash,6124,54.43%,0.90,53.51,44.44%
