competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,4440,1457,5308,884,2040,6146,501,274
APIO-2023,0,0,10,0,1,11,0,2
APIO-2024,0,0,7,3,12,2,0,0
BOI-2023,0,0,11,1,4,32,0,0
BOI-2024,1,0,16,0,10,20,0,1
BOI-2025,0,0,14,6,3,25,0,0
CCO-2023,45,0,24,4,6,48,0,1
CCO-2024,69,0,20,0,6,30,0,3
CEOI-2023,0,0,15,0,14,18,0,1
CEOI-2024,1,0,10,1,8,25,1,2
COCI-2023,93,0,25,10,12,51,5,4
COCI-2024,89,2,39,5,8,54,0,3
COCI-2025,74,0,34,5,17,56,14,0
EGOI-2023,14,0,6,2,3,28,9,2
EGOI-2024,3,0,7,3,2,41,8,0
EJOI-2023,0,0,25,1,14,8,0,0
EJOI-2024,12,0,9,1,13,12,0,1
IATI-2024,5,8,26,0,5,39,1,4
IOI-2023,0,0,10,0,9,25,0,2
IOI-2024,0,0,18,2,8,19,0,1
JOI-2023,10,0,45,4,20,78,3,0
JOI-2024,3,0,41,4,37,74,0,1
JOI-2025,8,0,16,2,4,9,0,1
NOINordic-2023,15,0,1,0,0,7,1,0
NOINordic-2024,6,0,7,0,0,11,0,0
NOINordic-2025,7,0,9,0,3,5,0,0
OOI-2023,19,0,50,14,1,35,17,0
OOI-2024,14,0,43,8,0,52,17,2
RMI-2023,2,0,10,3,2,31,0,0
RMI-2024,2,0,10,3,12,18,2,1
USACO-2023,109,91,102,16,30,33,0,3
USACO-2024,77,62,110,37,38,56,0,4
USACO-2025,75,46,72,8,25,59,0,3
