problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,ACCEPTED,50,100.00%,100.00%,0.000,0,,9,19,22,0,0,0
karte,ACCEPTED,70,100.00%,100.00%,0.010,1.546875,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,0.00%,5.80%,0.010,0.00390625,,0,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,100.00%,0.710,115.828125,,21,37,22,40,0,0
procesor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,100.00%,0.010,0,,21,13,16,0,0,0
zid,ACCEPTED,70,100.00%,100.00%,0.120,2.5859375,,17,21,32,0,0,0
tornjevi,ACCEPTED,90,100.00%,100.00%,0.290,12.8984375,,7,11,17,29,26,0
crtez,TIME_LIMIT_EXCEEDED,0,0.00%,8.51%,2.410,1.66796875,,0,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,100.00%,0.660,99.72265625,,15,15,45,45,0,0
sah,ACCEPTED,50,100.00%,100.00%,0.040,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,100.00%,0.060,9.234375,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,ACCEPTED,120,100.00%,100.00%,0.160,22.953125,,17,27,37,24,15,0
tura,RUNTIME_ERROR,0,0.00%,0.72%,0.020,0.00390625,,0,0,0,0,0,0
paradoks,ACCEPTED,50,100.00%,100.00%,0.000,0,,10,10,30,0,0,0
igre,ACCEPTED,70,100.00%,100.00%,0.070,1.55859375,,6,13,23,28,0,0
razlicitost,RUNTIME_ERROR,47,52.22%,90.70%,0.390,60.07421875,,25,13,9,0,0,0
blistavost,ACCEPTED,120,100.00%,100.00%,0.020,1.55078125,,20,25,55,20,0,0
trokuti,RUNTIME_ERROR,13,10.83%,25.96%,0.020,1.8125,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,100.00%,0.010,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,100.00%,0.090,12.125,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,100.00%,0.170,19.80078125,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,0,0.00%,4.92%,0.540,34.16015625,,0,0,0,0,0,0
zbunjenost,ACCEPTED,120,100.00%,100.00%,0.120,44.87890625,,13,18,34,15,40,0
TOTAL,,1440,,73.46%,,,68.00%,,,,,,
