Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bingo,bingo_rel,knjige,knjige_rel,lepeze,lepeze_rel,putovanje,putovanje_rel,roboti,roboti_rel
gpt-oss-120b-high,450.00,100.00%,100.00%,100.00%,0.250,14.24,5,50.00,100.00%,70.00,100.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%
gpt-5,450.00,100.00%,100.00%,100.00%,0.252,22.36,5,50.00,100.00%,70.00,100.00%,110.00,100.00%,110.00,100.00%,110.00,100.00%
grok-4-fast-reasoning,405.00,91.82%,96.98%,80.00%,0.644,10.04,5,50.00,100.00%,70.00,100.00%,110.00,100.00%,65.00,59.09%,110.00,100.00%
gpt-oss-120b-medium,401.00,91.09%,93.64%,80.00%,0.296,30.85,5,50.00,100.00%,70.00,100.00%,110.00,100.00%,110.00,100.00%,61.00,55.45%
gpt-oss-120b_sp4,356.00,82.91%,90.61%,60.00%,0.620,14.37,5,50.00,100.00%,70.00,100.00%,110.00,100.00%,65.00,59.09%,61.00,55.45%
gpt-oss-120b_sp2,305.00,73.64%,80.49%,60.00%,1.042,6.12,5,50.00,100.00%,70.00,100.00%,110.00,100.00%,65.00,59.09%,10.00,9.09%
gpt-o3-mini-high,269.00,67.09%,74.69%,60.00%,0.896,14.80,5,50.00,100.00%,70.00,100.00%,16.00,14.55%,110.00,100.00%,23.00,20.91%
gpt-oss-120b_sp1,262.00,65.82%,74.46%,40.00%,0.632,20.86,5,50.00,100.00%,70.00,100.00%,16.00,14.55%,65.00,59.09%,61.00,55.45%
seed-oss_8192,253.00,,71.22%,60.00%,0.656,21.87,5,50.00,,70.00,,0.00,,110.00,,23.00,
gpt-oss-20b-high,253.00,64.18%,71.68%,60.00%,0.740,5.26,5,50.00,100.00%,70.00,100.00%,0.00,0.00%,110.00,100.00%,23.00,20.91%
gpt-oss-20b-medium,240.00,77.27%,78.41%,75.00%,0.933,9.18,4,50.00,100.00%,70.00,100.00%,N/A,N/A,110.00,100.00%,10.00,9.09%
Qwen3-30B,240.00,,63.95%,60.00%,0.774,6.01,5,50.00,,70.00,,0.00,,110.00,,10.00,
gpt-oss-120b_sp3,233.00,60.55%,67.41%,40.00%,0.964,11.82,5,50.00,100.00%,70.00,100.00%,0.00,0.00%,65.00,59.09%,48.00,43.64%
QwQ-32B,230.00,,60.77%,60.00%,0.416,2.03,5,50.00,,70.00,,0.00,,110.00,,0.00,
claude-sonnet-4.5,210.00,56.36%,67.03%,40.00%,1.454,127.89,5,50.00,100.00%,70.00,100.00%,12.00,10.91%,65.00,59.09%,13.00,11.82%
Qwen3-32B,208.00,,66.04%,40.00%,0.906,5.76,5,50.00,,70.00,,0.00,,65.00,,23.00,
gemini-2.5-flash,208.00,56.00%,64.92%,40.00%,0.984,72.14,5,50.00,100.00%,70.00,100.00%,0.00,0.00%,65.00,59.09%,23.00,20.91%
deepseek-reasoner,208.00,56.00%,66.04%,40.00%,0.990,6.74,5,50.00,100.00%,70.00,100.00%,0.00,0.00%,65.00,59.09%,23.00,20.91%
gpt-4.1,208.00,56.00%,62.67%,40.00%,0.992,33.27,5,50.00,100.00%,70.00,100.00%,0.00,0.00%,65.00,59.09%,23.00,20.91%
seed-oss_2048,195.00,,56.40%,40.00%,0.508,2.15,5,50.00,,70.00,,0.00,,65.00,,10.00,
OpenCodeReasoning-Nemotron-32B-IOI,195.00,53.64%,58.48%,40.00%,0.738,126.95,5,50.00,100.00%,70.00,100.00%,0.00,0.00%,65.00,59.09%,10.00,9.09%
Qwen3-14B,195.00,,56.78%,40.00%,0.900,6.32,5,50.00,,70.00,,0.00,,65.00,,10.00,
DeepSeek-R1-Distill-Qwen-32B,195.00,,61.26%,40.00%,0.908,6.18,5,50.00,,70.00,,0.00,,65.00,,10.00,
seed-oss_16384,195.00,,61.04%,40.00%,0.950,4.37,5,50.00,,70.00,,0.00,,65.00,,10.00,
seed-oss_4096,195.00,,55.53%,40.00%,0.972,7.12,5,50.00,,70.00,,0.00,,65.00,,10.00,
seed-oss_-1,195.00,53.64%,62.41%,40.00%,0.982,33.87,5,50.00,100.00%,70.00,100.00%,0.00,0.00%,65.00,59.09%,10.00,9.09%
gpt-oss-20b-low,195.00,53.64%,59.30%,40.00%,0.990,6.34,5,50.00,100.00%,70.00,100.00%,0.00,0.00%,65.00,59.09%,10.00,9.09%
gemini-2.5-pro,195.00,53.64%,64.57%,40.00%,0.992,7.27,5,50.00,100.00%,70.00,100.00%,0.00,0.00%,65.00,59.09%,10.00,9.09%
gpt-oss-120b-low,195.00,53.64%,58.53%,40.00%,0.996,6.48,5,50.00,100.00%,70.00,100.00%,0.00,0.00%,65.00,59.09%,10.00,9.09%
DeepSeek-R1-Distill-Llama-70B,152.00,41.35%,43.45%,20.00%,0.706,10.47,5,50.00,100.00%,27.00,38.57%,0.00,0.00%,65.00,59.09%,10.00,9.09%
