competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,Llama-4-Scout,7143,16.42%,0.51,75.23,5.53%
APIO-2023,Llama-4-Scout,15,20.31%,0.65,5.86,0.00%
APIO-2024,Llama-4-Scout,5,5.95%,0.20,373.16,0.00%
BOI-2023,Llama-4-Scout,20,18.33%,0.01,1.15,0.00%
BOI-2024,Llama-4-Scout,22,16.60%,0.11,83.75,0.00%
BOI-2025,Llama-4-Scout,0,1.54%,0.05,8.75,0.00%
CCO-2023,Llama-4-Scout,62,30.91%,0.12,2.89,18.75%
CCO-2024,Llama-4-Scout,96,40.59%,0.33,3.61,37.50%
CEOI-2023,Llama-4-Scout,0,0.00%,0.00,0.00,0.00%
CEOI-2024,Llama-4-Scout,0,5.72%,0.07,5.00,0.00%
COCI-2023,Llama-4-Scout,378,25.62%,0.35,1.50,16.67%
COCI-2024,Llama-4-Scout,451,30.42%,0.56,5.47,20.00%
COCI-2025,Llama-4-Scout,338,23.04%,0.68,18.97,8.00%
EGOI-2023,Llama-4-Scout,19,6.35%,0.09,154.16,0.00%
EGOI-2024,Llama-4-Scout,28,20.54%,0.06,1.91,0.00%
EJOI-2023,Llama-4-Scout,20,5.95%,0.44,2.12,0.00%
EJOI-2024,Llama-4-Scout,7,6.25%,0.68,4.27,0.00%
IATI-2024,Llama-4-Scout,20,4.65%,0.17,30.83,0.00%
IOI-2023,Llama-4-Scout,5,5.35%,0.32,6.96,0.00%
IOI-2024,Llama-4-Scout,29,15.29%,0.81,814.39,0.00%
JOI-2023,Llama-4-Scout,6,8.18%,0.39,1.10,0.00%
JOI-2024,Llama-4-Scout,15,9.24%,0.67,3.33,0.00%
JOI-2025,Llama-4-Scout,56,27.68%,0.50,210.59,0.00%
NOINordic-2023,Llama-4-Scout,107,55.60%,2.41,115.85,33.33%
NOINordic-2024,Llama-4-Scout,23,30.05%,0.49,9.41,0.00%
NOINordic-2025,Llama-4-Scout,0,3.69%,2.05,409.35,0.00%
OOI-2023,Llama-4-Scout,261,21.06%,0.26,1.49,11.76%
OOI-2024,Llama-4-Scout,240,18.28%,0.54,33.58,5.88%
RMI-2023,Llama-4-Scout,0,0.00%,0.00,0.00,0.00%
RMI-2024,Llama-4-Scout,100,24.69%,0.10,28.83,16.67%
USACO-2023,Llama-4-Scout,2366,18.87%,1.23,28.06,6.25%
USACO-2024,Llama-4-Scout,1747,14.76%,0.89,22.20,2.08%
USACO-2025,Llama-4-Scout,707,9.83%,1.01,18.90,0.00%
