competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,118,119,721,112,787,1237,207,107
APIO-2023,0,0,5,0,6,5,8,0
APIO-2024,0,0,1,2,18,2,0,1
BOI-2023,0,0,2,0,15,31,0,0
BOI-2024,0,0,3,5,12,27,0,1
BOI-2025,0,0,6,2,12,28,0,0
CCO-2023,22,0,11,3,23,58,3,8
CCO-2024,32,0,11,0,12,60,3,10
CEOI-2023,0,0,3,0,27,17,1,0
CEOI-2024,0,0,5,0,12,28,0,3
COCI-2023,12,0,32,0,47,86,8,15
COCI-2024,14,0,31,2,47,91,0,15
COCI-2025,6,0,30,8,43,100,13,0
EGOI-2023,0,0,9,2,0,35,16,2
EGOI-2024,0,0,2,0,7,45,9,1
EJOI-2023,0,0,25,0,12,11,0,0
EJOI-2024,0,0,14,0,11,23,0,0
IATI-2024,0,5,15,0,13,50,3,2
IOI-2023,0,0,1,0,38,9,0,0
IOI-2024,0,0,13,1,24,10,0,0
JOI-2023,0,0,28,2,38,80,4,8
JOI-2024,0,0,12,10,60,62,12,4
JOI-2025,0,0,9,5,9,13,0,4
NOINordic-2023,2,0,3,1,2,13,2,1
NOINordic-2024,0,0,6,1,2,14,1,0
NOINordic-2025,0,0,7,0,10,7,0,0
OOI-2023,3,0,16,2,1,57,57,0
OOI-2024,1,0,22,2,0,49,61,1
RMI-2023,0,0,8,6,6,26,1,1
RMI-2024,6,0,2,0,11,22,5,2
USACO-2023,19,57,143,20,64,75,0,6
USACO-2024,1,40,120,19,125,61,0,18
USACO-2025,0,17,126,19,80,42,0,4
