problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,0.00%,16.33%,0.000,0,,0,0,0,0,0,0
karte,TIME_LIMIT_EXCEEDED,11,15.71%,37.31%,1.240,0.00390625,,0,11,0,0,0,0
bojanje,RUNTIME_ERROR,0,0.00%,4.35%,0.000,0,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
procesor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
wow,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
zid,TIME_LIMIT_EXCEEDED,17,24.29%,33.33%,1.210,1.8125,,17,0,0,0,0,0
tornjevi,TIME_LIMIT_EXCEEDED,7,7.78%,18.52%,2.420,9.03515625,,7,0,0,0,0,0
crtez,RUNTIME_ERROR,0,0.00%,0.00%,0.070,2.7890625,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
sah,RUNTIME_ERROR,32,64.00%,63.24%,0.090,0.00390625,,13,19,0,0,0,0
benzinska,RUNTIME_ERROR,0,0.00%,6.00%,0.120,2.84765625,,0,0,0,0,0,0
xor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,0,0.00%,0.00%,0.200,6.45703125,,0,0,0,0,0,0
tura,RUNTIME_ERROR,0,0.00%,0.72%,0.060,2.84375,,0,0,0,0,0,0
paradoks,RUNTIME_ERROR,0,0.00%,5.13%,0.000,0,,0,0,0,0,0,0
igre,RUNTIME_ERROR,0,0.00%,0.00%,0.060,0.00390625,,0,0,0,0,0,0
razlicitost,MEMORY_LIMIT_EXCEEDED,25,27.78%,37.21%,0.290,219.91796875,,25,0,0,0,0,0
blistavost,RUNTIME_ERROR,0,0.00%,3.28%,0.060,0.00390625,,0,0,0,0,0,0
trokuti,RUNTIME_ERROR,13,10.83%,25.00%,0.100,2.5859375,,13,0,0,0,0,0
osobna,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
skokovi,TIME_LIMIT_EXCEEDED,25,35.71%,43.75%,5.970,2.07421875,,0,25,0,0,0,0
hijerarhija,TIME_LIMIT_EXCEEDED,50,55.56%,63.89%,3.620,36.875,,7,12,16,15,0,0
uciteljica,RUNTIME_ERROR,0,0.00%,1.64%,0.000,0,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,0,0.00%,0.00%,0.120,4.390625,,0,0,0,0,0,0
TOTAL,,180,,14.39%,,,0.00%,,,,,,
