solution,status,score,%test passed,time,memory,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_15,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
silver_Bovine_Acrobatics_Qwen3-8B-Non-Thinking_0.cpp,RUNTIME_ERROR,0,0.00%,0.160,4.91796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Bovine_Acrobatics_Qwen3-8B-Non-Thinking_2.cpp,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.310,132.60546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Bovine_Acrobatics_Qwen3-8B-Non-Thinking_3.cpp,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.950,279.7265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Bovine_Acrobatics_Qwen3-8B-Non-Thinking_5.cpp,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.310,132.60546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Bovine_Acrobatics_Qwen3-8B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Bovine_Acrobatics_Qwen3-8B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Bovine_Acrobatics_Qwen3-8B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Bovine_Acrobatics_Qwen3-8B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Bovine_Acrobatics_Qwen3-8B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Bovine_Acrobatics_Qwen3-8B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Bovine_Acrobatics_Qwen3-8B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Bovine_Acrobatics_Qwen3-8B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
