competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,Mistral-Large-Instruct-2411,6142,17.15%,0.63,55.04,4.28%
APIO-2023,Mistral-Large-Instruct-2411,0,0.00%,0.00,0.00,0.00%
APIO-2024,Mistral-Large-Instruct-2411,5,5.95%,0.28,6.82,0.00%
BOI-2023,Mistral-Large-Instruct-2411,9,10.97%,0.00,1.95,0.00%
BOI-2024,Mistral-Large-Instruct-2411,30,29.48%,0.63,26.09,0.00%
BOI-2025,Mistral-Large-Instruct-2411,0,4.26%,0.90,48.41,0.00%
CCO-2023,Mistral-Large-Instruct-2411,74,35.47%,0.25,3.50,18.75%
CCO-2024,Mistral-Large-Instruct-2411,101,42.34%,0.35,11.40,37.50%
CEOI-2023,Mistral-Large-Instruct-2411,0,0.69%,0.07,44.87,0.00%
CEOI-2024,Mistral-Large-Instruct-2411,13,19.75%,1.08,198.01,0.00%
COCI-2023,Mistral-Large-Instruct-2411,337,24.01%,0.57,20.65,12.00%
COCI-2024,Mistral-Large-Instruct-2411,492,34.42%,0.63,30.86,20.00%
COCI-2025,Mistral-Large-Instruct-2411,222,21.83%,0.85,12.31,8.00%
EGOI-2023,Mistral-Large-Instruct-2411,25,12.73%,0.44,4.42,0.00%
EGOI-2024,Mistral-Large-Instruct-2411,16,14.42%,0.60,2.87,0.00%
EJOI-2023,Mistral-Large-Instruct-2411,5,4.38%,0.38,0.76,0.00%
EJOI-2024,Mistral-Large-Instruct-2411,29,15.39%,0.67,28.26,0.00%
IATI-2024,Mistral-Large-Instruct-2411,34,9.40%,0.23,31.74,0.00%
IOI-2023,Mistral-Large-Instruct-2411,44,14.29%,0.49,8.22,0.00%
IOI-2024,Mistral-Large-Instruct-2411,22,14.27%,1.12,375.20,0.00%
JOI-2023,Mistral-Large-Instruct-2411,35,16.55%,0.62,2.86,0.00%
JOI-2024,Mistral-Large-Instruct-2411,17,9.27%,0.56,114.87,0.00%
JOI-2025,Mistral-Large-Instruct-2411,28,23.22%,0.35,181.40,0.00%
NOINordic-2023,Mistral-Large-Instruct-2411,59,55.09%,0.91,375.12,0.00%
NOINordic-2024,Mistral-Large-Instruct-2411,0,12.34%,0.16,94.19,0.00%
NOINordic-2025,Mistral-Large-Instruct-2411,0,2.64%,3.34,8.15,0.00%
OOI-2023,Mistral-Large-Instruct-2411,309,23.55%,0.49,3.75,5.88%
OOI-2024,Mistral-Large-Instruct-2411,287,31.13%,1.28,10.77,11.76%
RMI-2023,Mistral-Large-Instruct-2411,0,0.00%,0.00,0.00,0.00%
RMI-2024,Mistral-Large-Instruct-2411,107,26.23%,0.11,51.27,16.67%
USACO-2023,Mistral-Large-Instruct-2411,2282,17.05%,1.13,5.96,6.25%
USACO-2024,Mistral-Large-Instruct-2411,1031,10.12%,0.90,31.91,0.00%
USACO-2025,Mistral-Large-Instruct-2411,529,7.62%,0.87,24.65,0.00%
