competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,1183,1652,8773,1753,7071,12385,1658,133
APIO-2023,0,0,7,4,0,2,3,8
APIO-2024,0,0,5,1,10,8,0,0
BOI-2023,0,0,3,0,13,32,0,0
BOI-2024,0,0,12,4,6,26,0,0
BOI-2025,0,0,7,0,7,29,5,0
CCO-2023,24,0,25,2,18,54,5,0
CCO-2024,45,0,15,2,22,43,0,1
CEOI-2023,0,0,9,1,21,15,2,0
CEOI-2024,0,0,7,2,13,26,0,0
COCI-2023,10,0,55,9,39,83,4,0
COCI-2024,16,3,50,12,32,87,0,0
COCI-2025,9,0,49,9,36,83,14,0
EGOI-2023,0,0,10,1,3,35,15,0
EGOI-2024,0,0,4,0,9,42,9,0
EJOI-2023,0,0,22,0,16,8,2,0
EJOI-2024,0,0,9,3,15,21,0,0
IATI-2024,0,8,21,1,14,36,8,0
IOI-2023,0,0,5,2,14,26,0,1
IOI-2024,0,0,10,5,8,25,0,0
JOI-2023,0,0,24,3,40,80,4,1
JOI-2024,0,0,21,11,50,77,1,0
JOI-2025,0,0,5,10,4,12,0,1
NOINordic-2023,0,0,1,1,2,18,2,0
NOINordic-2024,0,0,5,3,1,14,1,0
NOINordic-2025,0,0,7,1,4,12,0,0
OOI-2023,3,0,28,14,1,54,35,1
OOI-2024,3,0,40,6,0,39,48,0
RMI-2023,0,0,12,4,11,15,6,0
RMI-2024,2,0,10,4,5,23,3,1
USACO-2023,6,55,128,23,75,97,0,0
USACO-2024,0,57,142,32,77,76,0,0
USACO-2025,0,38,119,18,50,63,0,0
