Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,opening_offices,opening_offices_rel,square_grid_puzzle,square_grid_puzzle_rel,team_building,team_building_rel,teleporters,teleporters_rel,tree_infection,tree_infection_rel,tree_search,tree_search_rel
gpt-5,423.00,70.50%,73.22%,66.67%,0.240,27.99,6,23.00,23.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%
gpt-oss-120b-high,400.00,66.67%,67.49%,66.67%,0.255,44.81,6,0.00,0.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%
grok-4-fast-reasoning,331.00,55.17%,63.58%,33.33%,0.400,40.43,6,61.00,61.00%,0.00,0.00%,70.00,70.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%
gpt-oss-120b_sp2,270.00,45.00%,46.84%,33.33%,0.498,33.57,6,5.00,5.00%,0.00,0.00%,45.00,45.00%,100.00,100.00%,20.00,20.00%,100.00,100.00%
gpt-oss-20b-high,245.00,61.25%,60.71%,50.00%,0.430,6.68,4,N/A,N/A,0.00,0.00%,45.00,45.00%,100.00,100.00%,N/A,N/A,100.00,100.00%
gpt-o3-mini-high,227.00,37.83%,41.58%,16.67%,0.522,21.76,6,18.00,18.00%,0.00,0.00%,60.00,60.00%,100.00,100.00%,49.00,49.00%,0.00,0.00%
gpt-oss-120b-medium,220.00,36.67%,41.59%,33.33%,0.423,34.82,6,5.00,5.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,15.00,15.00%,100.00,100.00%
gemini-2.5-pro,203.00,33.83%,45.18%,16.67%,0.703,71.11,6,41.00,41.00%,0.00,0.00%,100.00,100.00%,26.00,26.00%,36.00,36.00%,0.00,0.00%
gpt-oss-120b_sp4,200.00,33.33%,43.29%,16.67%,0.237,32.09,6,5.00,5.00%,0.00,0.00%,6.00,6.00%,100.00,100.00%,39.00,39.00%,50.00,50.00%
gpt-oss-120b_sp1,197.00,32.83%,36.64%,16.67%,0.188,28.24,6,5.00,5.00%,0.00,0.00%,6.00,6.00%,71.00,71.00%,15.00,15.00%,100.00,100.00%
gpt-oss-120b_sp3,176.00,29.33%,38.12%,16.67%,0.133,17.36,6,5.00,5.00%,0.00,0.00%,6.00,6.00%,100.00,100.00%,0.00,0.00%,65.00,65.00%
gemini-2.5-flash,162.00,27.00%,30.59%,0.00%,0.842,87.74,6,18.00,18.00%,0.00,0.00%,45.00,45.00%,79.00,79.00%,20.00,20.00%,0.00,0.00%
gpt-oss-20b-medium,160.00,32.00%,31.90%,20.00%,0.386,24.81,5,N/A,N/A,0.00,0.00%,45.00,45.00%,100.00,100.00%,15.00,15.00%,0.00,0.00%
seed-oss_-1,113.00,18.83%,22.33%,0.00%,0.500,419.13,6,18.00,18.00%,0.00,0.00%,60.00,60.00%,20.00,20.00%,15.00,15.00%,0.00,0.00%
deepseek-reasoner,107.00,17.83%,22.75%,0.00%,0.503,435.60,6,27.00,27.00%,0.00,0.00%,45.00,45.00%,20.00,20.00%,15.00,15.00%,0.00,0.00%
claude-sonnet-4.5,99.00,16.50%,24.79%,0.00%,1.012,467.67,6,18.00,18.00%,0.00,0.00%,45.00,45.00%,16.00,16.00%,20.00,20.00%,0.00,0.00%
gpt-oss-120b-low,95.00,15.83%,16.59%,0.00%,0.515,17.39,6,5.00,5.00%,0.00,0.00%,51.00,51.00%,9.00,9.00%,0.00,0.00%,30.00,30.00%
seed-oss_16384,92.00,,19.21%,0.00%,0.652,417.72,6,9.00,,0.00,,45.00,,23.00,,15.00,,0.00,
Qwen3-32B,87.00,,22.57%,0.00%,0.678,379.67,6,22.00,,0.00,,60.00,,5.00,,0.00,,0.00,
Qwen3-14B,79.00,,14.88%,0.00%,0.767,35.72,6,9.00,,0.00,,45.00,,5.00,,20.00,,0.00,
Qwen3-4B,68.00,11.33%,13.47%,0.00%,0.670,423.08,6,18.00,18.00%,0.00,0.00%,45.00,45.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%
Qwen3-30B,68.00,,16.21%,0.00%,0.792,382.71,6,18.00,,0.00,,45.00,,5.00,,0.00,,0.00,
OpenCodeReasoning-Nemotron-32B-IOI,65.00,10.83%,12.31%,0.00%,0.698,62.66,6,0.00,0.00%,0.00,0.00%,45.00,45.00%,5.00,5.00%,15.00,15.00%,0.00,0.00%
gpt-oss-20b-low,60.00,10.00%,12.33%,0.00%,0.312,12.84,6,0.00,0.00%,0.00,0.00%,45.00,45.00%,15.00,15.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B,59.00,9.83%,14.03%,0.00%,0.822,46.96,6,9.00,9.00%,0.00,0.00%,45.00,45.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%
Llama-3.3-70B-Instruct,51.00,,16.33%,0.00%,0.633,159.89,6,0.00,,0.00,,11.00,,5.00,,0.00,,35.00,
seed-oss_8192,45.00,,6.38%,0.00%,0.222,11.93,6,0.00,,0.00,,45.00,,0.00,,0.00,,0.00,
deepseek-chat,43.00,7.17%,11.29%,0.00%,0.817,57.45,6,18.00,18.00%,0.00,0.00%,0.00,0.00%,5.00,5.00%,20.00,20.00%,0.00,0.00%
Qwen3-32B-Non-Thinking,40.00,8.00%,13.28%,0.00%,0.274,3.86,5,N/A,N/A,0.00,0.00%,0.00,0.00%,5.00,5.00%,0.00,0.00%,35.00,35.00%
QwQ-32B,35.00,35.00%,50.00%,0.00%,0.160,9.88,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.00,35.00%
Llama-4-Scout,20.00,3.33%,5.95%,0.00%,0.443,2.12,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,20.00,20.00%
DeepSeek-R1-Distill-Llama-70B,16.00,2.67%,6.22%,0.00%,0.612,9.83,6,0.00,0.00%,0.00,0.00%,11.00,11.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%
gpt-4.1,14.00,2.33%,9.71%,0.00%,0.842,60.36,6,9.00,9.00%,0.00,0.00%,0.00,0.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,5.00,0.83%,2.74%,0.00%,0.205,0.42,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-72B,5.00,,6.34%,0.00%,0.253,17.65,6,0.00,,0.00,,0.00,,5.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,5.00,0.83%,5.74%,0.00%,0.407,11.37,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%
Mistral-Large-Instruct-2411,5.00,0.83%,4.38%,0.00%,0.412,1.32,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%
Qwen3-14B-Non-Thinking,5.00,0.83%,2.76%,0.00%,0.423,20.07,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-14B-Instruct,5.00,0.83%,3.86%,0.00%,0.427,6.36,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%
OlympicCoder-7B,5.00,0.83%,5.50%,0.00%,0.427,5.77,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-32B,0.00,0.00%,0.00%,0.00%,0.000,0.00,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%
Qwen2.5-Coder-32B-Instruct,0.00,0.00%,0.00%,0.00%,0.000,0.00,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,0.00,0.00%,0.00%,0.00%,0.000,0.00,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00%
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.00%,0.00%,0.000,0.00,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_2048,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_4096,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_0,0.00,,0.27%,0.00%,0.008,2.94,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,0.00,0.00%,0.27%,0.00%,0.018,0.52,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,0.00,0.00%,0.27%,0.00%,0.027,14.55,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_512,0.00,,1.59%,0.00%,0.028,14.05,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,0.00,0.00%,0.75%,0.00%,0.205,1.06,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,0.00,0.00%,0.55%,0.00%,0.205,4.68,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B-Non-Thinking,0.00,0.00%,0.40%,0.00%,0.220,0.95,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
seed-oss_1024,0.00,,1.13%,0.00%,0.222,22.90,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,0.00,0.00%,0.77%,0.00%,0.387,400.60,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
