competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,gpt-oss-20b-low,22407,35.94%,0.36,15.55,24.29%
APIO-2023,gpt-oss-20b-low,24,18.67%,0.18,22.05,0.00%
APIO-2024,gpt-oss-20b-low,0,0.00%,0.00,0.00,0.00%
BOI-2023,gpt-oss-20b-low,28,25.12%,0.23,0.93,0.00%
BOI-2024,gpt-oss-20b-low,51,26.33%,0.44,14.45,0.00%
BOI-2025,gpt-oss-20b-low,0,3.45%,0.03,0.61,0.00%
CCO-2023,gpt-oss-20b-low,30,100.00%,0.01,0.00,100.00%
CCO-2024,gpt-oss-20b-low,15,100.00%,0.10,5.11,100.00%
CEOI-2023,gpt-oss-20b-low,0,0.81%,0.02,2.93,0.00%
CEOI-2024,gpt-oss-20b-low,46,31.51%,0.29,36.20,0.00%
COCI-2023,gpt-oss-20b-low,1110,59.07%,0.08,17.36,56.00%
COCI-2024,gpt-oss-20b-low,853,46.81%,0.26,8.06,40.00%
COCI-2025,gpt-oss-20b-low,957,54.35%,0.53,63.94,44.00%
EGOI-2023,gpt-oss-20b-low,200,25.18%,0.03,4.29,25.00%
EGOI-2024,gpt-oss-20b-low,272,43.14%,0.31,3.06,25.00%
EJOI-2023,gpt-oss-20b-low,60,12.33%,0.26,12.91,0.00%
EJOI-2024,gpt-oss-20b-low,208,38.46%,0.22,43.09,33.33%
IATI-2024,gpt-oss-20b-low,345,35.57%,0.18,7.75,27.27%
IOI-2023,gpt-oss-20b-low,32,9.90%,0.04,8.81,0.00%
IOI-2024,gpt-oss-20b-low,97,32.21%,1.14,10.04,0.00%
JOI-2023,gpt-oss-20b-low,158,24.83%,0.67,7.02,5.56%
JOI-2024,gpt-oss-20b-low,128,13.55%,0.27,6.27,5.00%
JOI-2025,gpt-oss-20b-low,100,20.68%,0.05,7.59,20.00%
NOINordic-2023,gpt-oss-20b-low,200,80.03%,0.05,7.65,66.67%
NOINordic-2024,gpt-oss-20b-low,100,35.85%,0.03,4.22,33.33%
NOINordic-2025,gpt-oss-20b-low,100,40.15%,3.72,7.59,33.33%
OOI-2023,gpt-oss-20b-low,600,45.25%,0.29,34.60,23.53%
OOI-2024,gpt-oss-20b-low,779,52.46%,0.45,26.74,35.29%
RMI-2023,gpt-oss-20b-low,64,21.78%,0.23,36.34,0.00%
RMI-2024,gpt-oss-20b-low,118,38.73%,0.46,58.74,16.67%
USACO-2023,gpt-oss-20b-low,7249,47.34%,0.38,14.66,39.58%
USACO-2024,gpt-oss-20b-low,4523,32.35%,0.32,13.72,17.02%
USACO-2025,gpt-oss-20b-low,3960,34.05%,0.33,10.76,30.56%
