problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,RUNTIME_ERROR,5,16.36%,0.370,306.33984375,,5,0,0,0,0,0,0,0,0,0
game,RUNTIME_ERROR,0,10.81%,0.230,4.40234375,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,7.38%,0.130,4.390625,,0,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,25,0.00%,0.140,1.95703125,,4.70929,4.06906,3.35974,2.8991499999999997,2.49801,2.0357600000000002,1.72931,1.45111,1.1148099999999999,0.87959
travel,RUNTIME_ERROR,0,3.57%,0.180,31.98046875,,0,0,0,0,0,0,0,0,0,0
aquarelle,TIME_LIMIT_EXCEEDED,29,75.79%,0.440,205.6796875,,0,11,18,0,0,0,0,0,0,0
parentheses,ACCEPTED,100,100.00%,0.230,34.06640625,,0,5,10,10,15,15,45,0,0,0
tolls,ACCEPTED,100,100.00%,0.210,11.12109375,,0,5,5,10,20,10,20,30,0,0
twins,RUNTIME_ERROR,40,35.88%,0.130,2.9140625,,40,0,0,0,0,0,0,0,0,0
walk,RUNTIME_ERROR,0,0.00%,0.130,3.6171875,,0,0,0,0,0,0,0,0,0,0
xy,RUNTIME_ERROR,0,2.86%,0.170,3.10546875,,0,0,0,0,0,0,0,0,0,0
TOTAL,,299,32.06%,,,18.18%,,,,,,,,,,
