problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,Qwen3-32B,TIME_LIMIT_EXCEEDED,10,10.00%,62.16%,4.810,23.4609375
2023-sp_Festivals_in_JOI_Kingdom_2,Qwen3-32B,RUNTIME_ERROR,0,0.00%,40.00%,0.150,0
2023-sp_Passport,Qwen3-32B,RUNTIME_ERROR,6,6.00%,47.14%,0.180,7.4609375
2023-sp_Belt_Conveyor,Qwen3-32B,RUNTIME_ERROR,1,1.00%,16.13%,0.720,11.58984375
2023-sp_Council,Qwen3-32B,TIME_LIMIT_EXCEEDED,41,41.00%,88.10%,3.620,3.875
2023-sp_Mizuyokan_2,Qwen3-32B,RUNTIME_ERROR,0,0.00%,0.00%,0.160,3.10546875
2023-sp_Chorus,Qwen3-32B,RUNTIME_ERROR,0,0.00%,6.67%,0.140,0
2023-sp_Cookies,Qwen3-32B,ACCEPTED,100,100.00%,100.00%,0.160,1.5546875
2023-sp_Tourism,Qwen3-32B,TIME_LIMIT_EXCEEDED,23,23.00%,67.80%,4.820,22.33203125
2023-sp_Super_Dango_Maker,Qwen3-32B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Security_Guard,Qwen3-32B,RUNTIME_ERROR,0,0.00%,5.95%,0.170,2.84765625
2023-sp_Bitaro’s_travel,Qwen3-32B,TIME_LIMIT_EXCEEDED,15,15.00%,77.88%,2.400,2.84765625
