competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,Qwen2.5-Coder-7B-Instruct,2731,7.55%,0.28,30.50,2.25%
APIO-2023,Qwen2.5-Coder-7B-Instruct,11,15.38%,1.60,161.66,0.00%
APIO-2024,Qwen2.5-Coder-7B-Instruct,0,0.00%,0.00,0.00,0.00%
BOI-2023,Qwen2.5-Coder-7B-Instruct,0,2.45%,0.01,0.00,0.00%
BOI-2024,Qwen2.5-Coder-7B-Instruct,0,3.67%,0.02,0.48,0.00%
BOI-2025,Qwen2.5-Coder-7B-Instruct,0,1.11%,0.45,13.81,0.00%
CCO-2023,Qwen2.5-Coder-7B-Instruct,69,33.42%,0.51,1.68,18.75%
CCO-2024,Qwen2.5-Coder-7B-Instruct,61,26.39%,0.36,26.68,18.75%
CEOI-2023,Qwen2.5-Coder-7B-Instruct,0,0.79%,0.09,1.76,0.00%
CEOI-2024,Qwen2.5-Coder-7B-Instruct,0,2.37%,0.02,1.63,0.00%
COCI-2023,Qwen2.5-Coder-7B-Instruct,170,11.71%,0.26,16.54,8.00%
COCI-2024,Qwen2.5-Coder-7B-Instruct,95,10.76%,0.36,3.92,4.00%
COCI-2025,Qwen2.5-Coder-7B-Instruct,101,10.62%,0.14,0.65,4.00%
EGOI-2023,Qwen2.5-Coder-7B-Instruct,0,4.93%,0.02,0.00,0.00%
EGOI-2024,Qwen2.5-Coder-7B-Instruct,0,6.50%,0.05,0.81,0.00%
EJOI-2023,Qwen2.5-Coder-7B-Instruct,0,0.55%,0.20,4.68,0.00%
EJOI-2024,Qwen2.5-Coder-7B-Instruct,7,9.45%,1.01,8.83,0.00%
IATI-2024,Qwen2.5-Coder-7B-Instruct,3,1.75%,0.22,4.29,0.00%
IOI-2023,Qwen2.5-Coder-7B-Instruct,0,0.15%,0.00,0.00,0.00%
IOI-2024,Qwen2.5-Coder-7B-Instruct,12,10.97%,0.38,374.90,0.00%
JOI-2023,Qwen2.5-Coder-7B-Instruct,10,9.40%,0.37,1.61,0.00%
JOI-2024,Qwen2.5-Coder-7B-Instruct,3,3.00%,0.29,27.96,0.00%
JOI-2025,Qwen2.5-Coder-7B-Instruct,15,10.86%,0.18,209.14,0.00%
OOI-2023,Qwen2.5-Coder-7B-Instruct,199,16.50%,0.12,1.52,5.88%
OOI-2024,Qwen2.5-Coder-7B-Instruct,100,8.73%,0.11,17.13,5.88%
RMI-2023,Qwen2.5-Coder-7B-Instruct,0,0.00%,0.00,0.00,0.00%
RMI-2024,Qwen2.5-Coder-7B-Instruct,0,2.38%,0.03,0.60,0.00%
USACO-2023,Qwen2.5-Coder-7B-Instruct,978,6.95%,0.49,1.35,0.00%
USACO-2024,Qwen2.5-Coder-7B-Instruct,717,5.54%,0.49,1.36,0.00%
USACO-2025,Qwen2.5-Coder-7B-Instruct,180,2.67%,0.31,1.64,0.00%
