competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,259,1148,4048,853,7595,8231,1519,227
APIO-2023,0,0,3,4,10,4,3,0
APIO-2024,0,0,1,5,12,6,0,0
BOI-2023,0,0,6,2,23,17,0,0
BOI-2024,0,0,2,1,16,29,0,0
BOI-2025,0,0,3,1,12,26,6,0
CCO-2023,17,0,22,4,31,47,5,2
CCO-2024,8,0,10,4,44,54,5,3
CEOI-2023,0,0,7,1,19,18,2,1
CEOI-2024,0,0,5,1,18,19,5,0
COCI-2023,3,0,29,6,57,98,6,1
COCI-2024,1,4,23,3,78,90,0,1
COCI-2025,2,0,28,3,67,84,14,2
EGOI-2023,0,0,2,0,5,35,20,2
EGOI-2024,0,0,2,0,14,40,8,0
EJOI-2023,0,0,11,1,21,12,2,1
EJOI-2024,0,0,14,0,14,18,0,2
IATI-2024,0,7,17,1,13,45,5,0
IOI-2023,0,0,4,1,32,10,0,1
IOI-2024,0,0,2,5,22,17,0,2
JOI-2023,0,0,19,2,49,78,4,0
JOI-2024,0,0,12,6,75,66,1,0
JOI-2025,0,0,5,4,5,18,0,0
OOI-2023,2,0,14,8,1,51,59,1
OOI-2024,3,0,22,0,0,50,60,1
RMI-2023,0,0,10,1,19,11,7,0
RMI-2024,0,0,2,2,11,29,4,0
USACO-2023,0,46,85,26,125,97,0,5
USACO-2024,0,48,104,20,121,88,0,3
USACO-2025,0,54,84,10,88,50,1,1
