Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,abc,abc_rel,cyberland,cyberland_rel,sequence,sequence_rel
gemini-2.5-pro,203.00,67.67%,78.08%,0.00%,1.707,121.75,3,66.00,66.00%,97.00,97.00%,40.00,40.00%
claude-sonnet-4.5,190.00,63.33%,77.51%,0.00%,1.663,108.84,3,36.00,36.00%,97.00,97.00%,57.00,57.00%
gemini-2.5-flash,144.00,48.00%,67.98%,0.00%,1.670,123.72,3,36.00,36.00%,97.00,97.00%,11.00,11.00%
grok-4-fast-reasoning,141.00,47.00%,56.75%,0.00%,0.763,23.29,3,4.00,4.00%,97.00,97.00%,40.00,40.00%
claude-haiku-4.5,140.00,46.67%,59.82%,0.00%,1.280,28.08,3,32.00,32.00%,97.00,97.00%,11.00,11.00%
gpt-5,132.00,44.00%,59.68%,33.33%,0.697,18.89,3,4.00,4.00%,100.00,100.00%,28.00,28.00%
seed-oss_-1,120.00,40.00%,49.92%,0.00%,1.613,98.78,3,0.00,0.00%,97.00,97.00%,23.00,23.00%
deepseek-chat,120.00,40.00%,60.09%,0.00%,1.660,51.33,3,12.00,12.00%,97.00,97.00%,11.00,11.00%
seed-oss_16384,113.00,,44.78%,0.00%,1.623,42.37,3,4.00,,97.00,,12.00,
gpt-4.1,112.00,37.33%,44.73%,0.00%,1.690,236.51,3,4.00,4.00%,97.00,97.00%,11.00,11.00%
gpt-o3-mini-high,109.00,36.33%,37.82%,0.00%,1.087,58.79,3,0.00,0.00%,97.00,97.00%,12.00,12.00%
Qwen3-32B-Non-Thinking,108.00,36.00%,38.55%,0.00%,1.027,761.54,3,0.00,0.00%,97.00,97.00%,11.00,11.00%
gpt-oss-120b_sp2,101.00,33.67%,37.35%,0.00%,1.020,27.98,3,4.00,4.00%,97.00,97.00%,0.00,0.00%
Qwen3-32B,101.00,33.67%,42.67%,0.00%,1.657,45.26,3,4.00,4.00%,97.00,97.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,97.00,32.33%,28.47%,0.00%,0.720,35.28,3,0.00,0.00%,97.00,97.00%,0.00,0.00%
seed-oss_4096,97.00,,30.39%,0.00%,1.143,23.86,3,0.00,,97.00,,0.00,
deepseek-reasoner,97.00,32.33%,30.39%,0.00%,1.180,35.36,3,0.00,0.00%,97.00,97.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-70B,97.00,32.33%,28.07%,0.00%,1.590,229.05,3,0.00,0.00%,97.00,97.00%,0.00,0.00%
seed-oss_0,63.00,,20.63%,0.00%,0.350,19.88,3,0.00,,63.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,55.00,18.33%,26.35%,0.00%,0.750,8.86,3,0.00,0.00%,44.00,44.00%,11.00,11.00%
seed-oss_8192,53.00,,29.20%,0.00%,1.040,36.27,3,4.00,,49.00,,0.00,
seed-oss_512,44.00,,11.79%,0.00%,0.183,8.64,3,0.00,,44.00,,0.00,
gpt-oss-20b-high,37.00,12.33%,26.32%,0.00%,0.387,29.62,3,4.00,4.00%,20.00,20.00%,13.00,13.00%
DeepSeek-Coder-V2-Lite-Instruct,35.00,11.67%,28.03%,0.00%,0.683,5.08,3,4.00,4.00%,20.00,20.00%,11.00,11.00%
gpt-oss-120b-high,31.00,10.33%,22.42%,0.00%,0.303,29.92,3,4.00,4.00%,15.00,15.00%,12.00,12.00%
