problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
More_Gifts,RUNTIME_ERROR,0,0.00%,5.61%,0.090,5.109375,,0,0,0,0,0,0,0,0,0,0,0
Big_Persimmon,RUNTIME_ERROR,0,0.00%,8.62%,0.090,0,,0,0,0,0,0,0,0,0,0,0,0
Evidence_Board,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0
Draw_Polygon_Lines,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0
Burenka_and_Pether,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0
Almost_Certainly,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0
Three_Arrays,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0
Parallel_Universes,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0
Paired_roads,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0
Legs_warm-up_exercise,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0
Hard_problem,ACCEPTED,100,100.00%,100.00%,0.180,15.21875,,0.0,13.0,0,10.0,14.0,19.0,9.0,1.0,9.0,25.0,0
Yet_another_queries,TIME_LIMIT_EXCEEDED,19,19.00%,49.24%,1.810,5.484375,,0.0,19.0,0,0,0,0,0,0,0,0,0
Lunch,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0
Tournament,MEMORY_LIMIT_EXCEEDED,80,80.00%,97.15%,0.110,0,,0.0,14.0,0,8.0,0,12.0,9.0,10.0,9.0,8.0,10.0
You_need_to_train_more,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0
Colorful_graph,RUNTIME_ERROR,0,0.00%,9.59%,0.100,3.6171875,,0.0,0,0,0,0,0,0,0,0,0,0
Space_accident,RUNTIME_ERROR,0,0.00%,10.29%,0.110,0.00390625,,0,0,0,0,0,0,0,0,0,0,0
TOTAL,,199,,16.50%,,,5.88%,,,,,,,,,,,
