problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3
estimathon,ACCEPTED,50,100.00%,100.00%,0.010,0,,11,39,0,0
dirigent,ACCEPTED,70,100.00%,100.00%,0.070,2.58984375,,15,20,35,0
baltazar,TIME_LIMIT_EXCEEDED,15,13.64%,62.50%,4.810,39.8203125,,15,0,0,0
bomboni,ACCEPTED,110,100.00%,100.00%,0.280,470.5078125,,13,17,33,47
skrivaca,TIME_LIMIT_EXCEEDED,15,13.64%,25.53%,2.410,15.1796875,,15,0,0,0
kalendar,ACCEPTED,50,100.00%,100.00%,0.000,0,,7,19,24,0
diskurs,TIME_LIMIT_EXCEEDED,20,28.57%,24.00%,2.410,40.7421875,,20,0,0,0
logaritam,ACCEPTED,110,100.00%,100.00%,0.060,0.00390625,,19,26,29,36
slasticarnica,TIME_LIMIT_EXCEEDED,21,19.09%,25.00%,2.410,126.33203125,,21,0,0,0
zastave,ACCEPTED,110,100.00%,100.00%,0.090,2.07421875,,41,22,47,0
7krokods,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,26,7,0
zrinka,RUNTIME_ERROR,35,50.00%,40.00%,0.030,2.0703125,,15,20,0,0
bojanje,ACCEPTED,110,100.00%,100.00%,0.020,0.00390625,,30,40,40,0
mreza,TIME_LIMIT_EXCEEDED,21,19.09%,47.22%,5.980,30.15234375,,21,0,0,0
vrsta,ACCEPTED,110,100.00%,100.00%,0.200,19.58984375,,19,26,29,36
TOTAL,,897,,74.95%,,,60.00%,,,,
