contest,total_score,included_tasks,pass_rate_percent,relative_score_percent,human_percentile,medal,rank,source_file
APIO-2023-contest_rankings,132.0,3,33.33,44.0,40.825688073394495,None,6,APIO-2023-contest_rankings.csv
APIO-2024-contest_rankings,140.0,2,33.33,70.0,86.95652173913044,Silver,1,APIO-2024-contest_rankings.csv
BOI-2023-contest_rankings,187.0,6,16.67,31.17,50.0,None,4,BOI-2023-contest_rankings.csv
BOI-2024-contest_rankings,375.0,6,50.0,62.5,90.78947368421052,Silver,2,BOI-2024-contest_rankings.csv
BOI-2025-contest_rankings,209.0,6,16.67,34.83,57.69230769230769,Bronze,1,BOI-2025-contest_rankings.csv
CCO-2023-Canadian_Computing_Competition_Junior_rankings,75.0,5,100.0,100.0,100.0,Gold,2,CCO-2023-Canadian_Computing_Competition_Junior_rankings.csv
CCO-2023-Canadian_Computing_Competition_Senior_rankings,60.0,5,80.0,80.0,99.15204678362574,Gold,1,CCO-2023-Canadian_Computing_Competition_Senior_rankings.csv
CCO-2023-Canadian_Computing_Olympiad_rankings,62.0,6,33.33,41.33,55.55555555555556,Silver,2,CCO-2023-Canadian_Computing_Olympiad_rankings.csv
CCO-2024-Canadian_Computing_Competition_Junior_rankings,75.0,5,100.0,100.0,100.0,Gold,11,CCO-2024-Canadian_Computing_Competition_Junior_rankings.csv
CCO-2024-Canadian_Computing_Competition_Senior_rankings,45.0,5,60.0,60.0,96.25031669622498,Gold,4,CCO-2024-Canadian_Computing_Competition_Senior_rankings.csv
CCO-2024-Canadian_Computing_Olympiad_rankings,87.0,6,50.0,58.0,,None,1,CCO-2024-Canadian_Computing_Olympiad_rankings.csv
CEOI-2023-contest_rankings,185.0,5,16.67,37.0,68.75,Bronze,1,CEOI-2023-contest_rankings.csv
CEOI-2024-contest_rankings,251.0,6,33.33,41.83,48.214285714285715,None,2,CEOI-2024-contest_rankings.csv
COCI-2023-CONTEST_#1_rankings,385.0,5,80.0,77.0,96.30681818181819,Gold,1,COCI-2023-CONTEST_#1_rankings.csv
COCI-2023-CONTEST_#2_rankings,270.0,5,60.0,54.0,89.76109215017065,Silver,2,COCI-2023-CONTEST_#2_rankings.csv
COCI-2023-CONTEST_#3_rankings,450.0,5,100.0,90.0,100.0,Gold,1,COCI-2023-CONTEST_#3_rankings.csv
COCI-2023-CONTEST_#4_rankings,400.0,5,80.0,80.0,94.44444444444444,Gold,10,COCI-2023-CONTEST_#4_rankings.csv
COCI-2023-CONTEST_#5_rankings,450.0,5,100.0,90.0,100.0,Gold,5,COCI-2023-CONTEST_#5_rankings.csv
COCI-2024-CONTEST_#1_rankings,260.0,5,60.0,52.0,88.8157894736842,Silver,5,COCI-2024-CONTEST_#1_rankings.csv
COCI-2024-CONTEST_#2_rankings,450.0,5,100.0,90.0,100.0,Gold,2,COCI-2024-CONTEST_#2_rankings.csv
COCI-2024-CONTEST_#3_rankings,340.0,5,80.0,68.0,95.16129032258064,Gold,3,COCI-2024-CONTEST_#3_rankings.csv
COCI-2024-CONTEST_#4_rankings,450.0,5,100.0,90.0,100.0,Gold,2,COCI-2024-CONTEST_#4_rankings.csv
COCI-2024-CONTEST_#5_rankings,270.0,5,60.0,54.0,87.83783783783784,Silver,6,COCI-2024-CONTEST_#5_rankings.csv
COCI-2025-CONTEST_#1_rankings,365.0,5,80.0,73.0,98.32402234636872,Gold,3,COCI-2025-CONTEST_#1_rankings.csv
COCI-2025-CONTEST_#2_rankings,343.0,4,80.0,82.5,100.0,Gold,5,COCI-2025-CONTEST_#2_rankings.csv
COCI-2025-CONTEST_#3_rankings,240.0,4,60.0,60.0,80.58252427184466,Silver,5,COCI-2025-CONTEST_#3_rankings.csv
COCI-2025-CONTEST_#4_rankings,349.0,4,60.0,87.25,100.0,Gold,3,COCI-2025-CONTEST_#4_rankings.csv
COCI-2025-CONTEST_#5_rankings,450.0,5,100.0,90.0,100.0,Gold,1,COCI-2025-CONTEST_#5_rankings.csv
EGOI-2023-contest_rankings,300.0,7,37.5,42.86,76.06382978723404,Silver,7,EGOI-2023-contest_rankings.csv
EGOI-2024-contest_rankings,600.0,6,75.0,100.0,100.0,Gold,1,EGOI-2024-contest_rankings.csv
EJOI-2023-contest_rankings,423.0,6,66.67,70.5,98.91304347826087,Gold,1,EJOI-2023-contest_rankings.csv
EJOI-2024-contest_rankings,505.0,6,83.33,84.17,85.71428571428571,Silver,1,EJOI-2024-contest_rankings.csv
IATI-2024-junior_rankings,340.0,6,50.0,56.67,92.14659685863874,Silver,4,IATI-2024-junior_rankings.csv
IATI-2024-senior_rankings,211.0,5,20.0,42.2,86.06271777003484,Silver,1,IATI-2024-senior_rankings.csv
IOI-2023-contest_rankings,173.0,6,16.67,28.83,55.932203389830505,Bronze,1,IOI-2023-contest_rankings.csv
IOI-2024-contest_rankings,160.0,6,16.67,26.67,28.688524590163933,None,3,IOI-2024-contest_rankings.csv
JOI-2023-JOI_open_rankings,149.0,3,33.33,49.67,90.69767441860465,Silver,1,JOI-2023-JOI_open_rankings.csv
JOI-2023-JOI_rankings,311.0,5,60.0,62.2,64.90066225165563,Bronze,2,JOI-2023-JOI_rankings.csv
JOI-2023-JOI_spring_rankings,391.0,11,27.27,35.55,62.76223776223776,Bronze,2,JOI-2023-JOI_spring_rankings.csv
JOI-2024-JOI_open_rankings,206.0,3,66.67,68.67,92.3913043478261,Silver,1,JOI-2024-JOI_open_rankings.csv
JOI-2024-JOI_rankings,273.0,5,40.0,54.6,79.44250871080139,Silver,2,JOI-2024-JOI_rankings.csv
JOI-2024-JOI_spring_rankings,339.0,10,8.33,33.9,76.16487455197132,Silver,3,JOI-2024-JOI_spring_rankings.csv
JOI-2025-JOI_rankings,203.0,5,50.0,40.6,43.17343173431734,None,14,JOI-2025-JOI_rankings.csv
NOINordic-2023-contest_rankings,300.0,3,100.0,100.0,100.0,Gold,1,NOINordic-2023-contest_rankings.csv
NOINordic-2024-contest_rankings,161.0,3,33.33,53.67,87.93103448275862,Silver,1,NOINordic-2024-contest_rankings.csv
NOINordic-2025-contest_rankings,300.0,3,100.0,100.0,100.0,Gold,2,NOINordic-2025-contest_rankings.csv
OOI-2023-final_rankings,566.0,7,50.0,73.29,92.12410501193317,Gold,1,OOI-2023-final_rankings.csv
OOI-2023-qualification_rankings,698.0,9,66.67,77.56,96.14003590664272,Gold,1,OOI-2023-qualification_rankings.csv
OOI-2024-final_rankings,540.0,8,50.0,67.5,93.93939393939394,Gold,2,OOI-2024-final_rankings.csv
OOI-2024-qualification_rankings,662.0,8,66.67,82.75,95.29512403763901,Gold,1,OOI-2024-qualification_rankings.csv
RMI-2023-contest_rankings,436.0,6,50.0,72.67,94.73684210526316,Gold,1,RMI-2023-contest_rankings.csv
RMI-2024-contest_rankings,361.0,6,50.0,60.17,98.96907216494846,Gold,1,RMI-2024-contest_rankings.csv
USACO-2023-December_Contest-combined,3000.0,9,100.0,100.10010010010011,,Gold,5,USACO-2023-December_Contest-combined_rankings.csv
