Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,dizalo,dizalo_rel,kuglice,kuglice_rel,pahuljice,pahuljice_rel,pingvin,pingvin_rel,zatopljenje,zatopljenje_rel
grok-4-fast-reasoning,450.00,100.00%,100.00%,100.00%,0.068,33.06,5,110.00,100.00%,110.00,100.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
gpt-5,450.00,100.00%,100.00%,100.00%,0.070,9.24,5,110.00,100.00%,110.00,100.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
gpt-oss-120b-high,404.00,91.64%,98.42%,80.00%,0.110,11.53,5,64.00,58.18%,110.00,100.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
gpt-oss-120b_sp4,404.00,91.64%,96.84%,80.00%,0.760,12.67,5,64.00,58.18%,110.00,100.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
gpt-oss-120b-medium,404.00,91.64%,91.58%,80.00%,0.774,7.71,5,64.00,58.18%,110.00,100.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
gemini-2.5-flash,404.00,91.64%,91.58%,80.00%,0.784,15.79,5,64.00,58.18%,110.00,100.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
gemini-2.5-pro,404.00,91.64%,91.58%,80.00%,0.786,20.99,5,64.00,58.18%,110.00,100.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
gpt-oss-120b_sp3,369.00,85.27%,85.26%,80.00%,0.036,7.84,5,29.00,26.36%,110.00,100.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
gpt-oss-120b_sp1,369.00,85.27%,85.26%,80.00%,0.072,6.75,5,29.00,26.36%,110.00,100.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
gpt-oss-120b_sp2,369.00,85.27%,85.26%,80.00%,0.758,8.23,5,29.00,26.36%,110.00,100.00%,50.00,100.00%,70.00,100.00%,110.00,100.00%
seed-oss_16384,340.00,,80.00%,80.00%,0.048,12.15,5,0.00,,110.00,,50.00,,70.00,,110.00,
