Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,diplomacy,diplomacy_rel,garbage,garbage_rel,xoracle,xoracle_rel
gemini-2.5-pro,300.00,,100.00%,100.00%,0.500,60.69,3,100.00,,100.00,,100.00,
gpt-oss-120b-high,300.00,,100.00%,100.00%,0.593,40.80,3,100.00,,100.00,,100.00,
gpt-5,300.00,,100.00%,100.00%,0.660,28.51,3,100.00,,100.00,,100.00,
gemini-2.5-flash,225.00,,87.15%,66.67%,1.693,20.26,3,25.00,,100.00,,100.00,
gpt-oss-120b-medium,200.00,66.67%,75.34%,66.67%,0.867,43.80,3,100.00,100.00%,0.00,0.00%,100.00,100.00%
seed-oss_-1,200.00,,67.03%,66.67%,1.773,9.86,3,0.00,,100.00,,100.00,
gpt-o3-mini-high,192.00,,67.54%,33.33%,1.657,46.60,3,25.00,,100.00,,67.00,
gpt-oss-20b-high,167.00,,48.13%,33.33%,0.333,41.09,3,0.00,,100.00,,67.00,
Qwen3-32B,150.00,,66.59%,33.33%,3.443,21.32,3,25.00,,25.00,,100.00,
Qwen3-30B,125.00,,47.85%,33.33%,3.463,7.78,3,0.00,,25.00,,100.00,
Qwen3-14B,125.00,,57.45%,33.33%,3.463,12.37,3,25.00,,0.00,,100.00,
deepseek-reasoner,122.00,,50.65%,33.33%,1.660,14.47,3,0.00,,22.00,,100.00,
QwQ-32B,122.00,,49.58%,33.33%,1.740,11.31,3,0.00,,22.00,,100.00,
gpt-4.1,116.00,,54.10%,0.00%,4.083,17.08,3,0.00,,59.00,,57.00,
gpt-oss-20b-medium,100.00,,33.33%,33.33%,0.043,4.64,3,0.00,,100.00,,0.00,
seed-oss_8192,100.00,,38.36%,33.33%,2.107,2.87,3,0.00,,0.00,,100.00,
seed-oss_4096,100.00,,38.36%,33.33%,2.137,5.74,3,0.00,,0.00,,100.00,
DeepSeek-R1-Distill-Llama-70B,100.00,,36.95%,33.33%,3.497,10.86,3,0.00,,0.00,,100.00,
seed-oss_16384,100.00,,38.71%,33.33%,3.713,10.82,3,0.00,,0.00,,100.00,
gpt-oss-20b-low,100.00,,40.15%,33.33%,3.720,7.59,3,0.00,,0.00,,100.00,
deepseek-chat,89.00,,43.08%,0.00%,4.063,8.93,3,0.00,,32.00,,57.00,
DeepSeek-R1-Distill-Qwen-14B,67.00,,15.55%,0.00%,0.260,5.96,3,0.00,,0.00,,67.00,
DeepSeek-R1-Distill-Qwen-32B,67.00,,16.27%,0.00%,3.473,4.48,3,0.00,,0.00,,67.00,
Qwen3-8B,67.00,,20.54%,0.00%,3.717,7.58,3,0.00,,0.00,,67.00,
Qwen3-4B,67.00,,15.91%,0.00%,3.720,7.23,3,0.00,,0.00,,67.00,
Qwen3-32B-Non-Thinking,57.00,,36.33%,0.00%,1.963,2.57,3,0.00,,0.00,,57.00,
seed-oss_2048,24.00,,12.09%,0.00%,0.150,2.81,3,0.00,,0.00,,24.00,
seed-oss_1024,24.00,,12.83%,0.00%,2.117,2.89,3,0.00,,0.00,,24.00,
Qwen3-14B-Non-Thinking,24.00,,16.72%,0.00%,2.590,2.93,3,0.00,,0.00,,24.00,
Qwen3-30B-Non-Thinking,24.00,,15.71%,0.00%,3.523,13.41,3,0.00,,0.00,,24.00,
Llama-3.3-70B-Instruct,22.00,,7.57%,0.00%,3.307,5.30,3,0.00,,22.00,,0.00,
Qwen2.5-Coder-32B-Instruct,9.00,,10.94%,0.00%,3.473,4.93,3,0.00,,0.00,,9.00,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
seed-oss_0,0.00,,1.83%,0.00%,0.027,0.95,3,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.043,0.51,3,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,0.00,,1.37%,0.00%,0.047,1.21,3,0.00,,0.00,,0.00,
seed-oss_512,0.00,,2.32%,0.00%,0.067,2.59,3,0.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,0.00,,2.28%,0.00%,0.120,2.16,3,0.00,,0.00,,0.00,
Codestral-22B-v0.1,0.00,,1.83%,0.00%,0.147,16.07,3,0.00,,0.00,,0.00,
gpt-oss-120b-low,0.00,,10.96%,0.00%,0.793,41.31,3,0.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,0.00,,6.60%,0.00%,1.713,361.72,3,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,0.00,,3.20%,0.00%,1.837,1.55,3,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,0.00,,1.37%,0.00%,1.883,1.46,3,0.00,,0.00,,0.00,
Llama-4-Scout,0.00,,3.69%,0.00%,2.010,409.37,3,0.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,0.00,,2.64%,0.00%,3.343,8.15,3,0.00,,0.00,,0.00,
Qwen2.5-72B,0.00,,5.38%,0.00%,3.390,2.90,3,0.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,0.00,,1.27%,0.00%,3.420,6.03,3,0.00,,0.00,,0.00,
