Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,hieroglyphs,hieroglyphs_rel,message,message_rel,mosaic,mosaic_rel,nile,nile_rel,sphinx,sphinx_rel,tree,tree_rel
gpt-oss-120b-high,167.00,,49.53%,16.67%,0.547,420.51,6,18.00,,10.00,,22.00,,100.00,,0.00,,17.00,
gpt-5,160.00,,44.24%,16.67%,0.327,288.14,6,3.00,,0.00,,37.00,,100.00,,3.00,,17.00,
gemini-2.5-pro,134.00,,50.02%,0.00%,1.843,384.55,6,0.00,,10.00,,37.00,,67.00,,10.00,,10.00,
seed-oss_16384,122.00,,47.18%,0.00%,1.263,419.02,6,3.00,,10.00,,22.00,,67.00,,10.00,,10.00,
seed-oss_-1,122.00,,47.30%,0.00%,1.378,419.01,6,3.00,,10.00,,22.00,,67.00,,10.00,,10.00,
deepseek-reasoner,120.00,,44.63%,0.00%,1.790,13.32,6,3.00,,10.00,,20.00,,67.00,,10.00,,10.00,
gpt-oss-120b-medium,119.00,19.83%,41.63%,0.00%,0.875,417.32,6,3.00,3.00%,10.00,10.00%,22.00,22.00%,67.00,67.00%,0.00,0.00%,17.00,17.00%
gemini-2.5-flash,112.00,,39.91%,0.00%,1.083,381.63,6,3.00,,0.00,,22.00,,67.00,,10.00,,10.00,
Qwen3-32B,105.00,,34.01%,0.00%,1.023,381.41,6,3.00,,0.00,,22.00,,67.00,,3.00,,10.00,
Qwen3-30B,105.00,,33.44%,0.00%,1.065,380.93,6,3.00,,0.00,,22.00,,67.00,,3.00,,10.00,
Qwen3-14B,102.00,,32.42%,0.00%,1.042,379.72,6,3.00,,0.00,,22.00,,67.00,,0.00,,10.00,
gpt-oss-20b-low,97.00,,32.21%,0.00%,1.140,10.04,6,3.00,,10.00,,7.00,,67.00,,0.00,,10.00,
seed-oss_8192,95.00,,32.88%,0.00%,0.702,19.20,6,3.00,,10.00,,12.00,,67.00,,3.00,,0.00,
Qwen3-8B,92.00,,28.70%,0.00%,0.773,820.37,6,0.00,,0.00,,22.00,,67.00,,3.00,,0.00,
gpt-oss-120b-low,90.00,,29.59%,0.00%,1.025,7.94,6,3.00,,10.00,,0.00,,67.00,,0.00,,10.00,
gpt-oss-20b-high,87.00,,31.96%,0.00%,0.794,367.19,5,3.00,,0.00,,N/A,,67.00,,0.00,,17.00,
gpt-oss-20b-medium,87.00,,31.47%,0.00%,1.410,8.22,5,0.00,,10.00,,N/A,,67.00,,0.00,,10.00,
gpt-o3-mini-high,67.00,,19.00%,0.00%,0.598,28.41,6,0.00,,0.00,,0.00,,67.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,62.00,,31.53%,0.00%,1.262,379.88,6,3.00,,10.00,,22.00,,17.00,,10.00,,0.00,
Qwen3-4B,45.00,,20.89%,0.00%,1.168,820.11,6,0.00,,0.00,,22.00,,23.00,,0.00,,0.00,
gpt-4.1,42.00,,20.06%,0.00%,0.498,63.31,6,0.00,,0.00,,29.00,,0.00,,3.00,,10.00,
Qwen2.5-72B,42.00,,17.21%,0.00%,0.537,375.87,6,3.00,,0.00,,22.00,,17.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,42.00,,15.82%,0.00%,0.567,387.67,6,3.00,,0.00,,22.00,,17.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,42.00,,15.82%,0.00%,0.568,377.41,6,3.00,,0.00,,22.00,,17.00,,0.00,,0.00,
Llama-3.3-70B-Instruct,39.00,,15.97%,0.00%,0.715,749.97,6,0.00,,0.00,,22.00,,17.00,,0.00,,0.00,
deepseek-chat,37.00,,15.98%,0.00%,1.055,12.20,6,3.00,,0.00,,7.00,,17.00,,0.00,,10.00,
QwQ-32B,33.00,,14.78%,0.00%,0.885,10.12,6,3.00,,0.00,,0.00,,17.00,,3.00,,10.00,
Qwen2.5-Coder-32B-Instruct,32.00,,20.23%,0.00%,1.007,748.04,6,0.00,,10.00,,22.00,,0.00,,0.00,,0.00,
Llama-4-Scout,29.00,,15.29%,0.00%,0.808,816.35,6,0.00,,0.00,,12.00,,17.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,27.00,,11.22%,0.00%,0.535,8.06,6,0.00,,0.00,,7.00,,17.00,,3.00,,0.00,
seed-oss_4096,27.00,,19.79%,0.00%,0.570,412.76,6,0.00,,10.00,,7.00,,0.00,,10.00,,0.00,
Qwen3-32B-Non-Thinking,25.00,,12.81%,0.00%,0.170,375.18,6,3.00,,0.00,,22.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,25.00,,14.74%,0.00%,0.942,751.35,6,0.00,,0.00,,22.00,,0.00,,3.00,,0.00,
Mistral-Small-3.1-24B-2503,22.00,,12.02%,0.00%,0.252,375.58,6,0.00,,0.00,,22.00,,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,22.00,,12.16%,0.00%,0.332,749.81,6,0.00,,0.00,,22.00,,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,22.00,,11.94%,0.00%,0.342,747.13,6,0.00,,0.00,,22.00,,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,22.00,,12.59%,0.00%,0.722,748.79,6,0.00,,0.00,,22.00,,0.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,22.00,,14.27%,0.00%,1.122,375.20,6,0.00,,0.00,,22.00,,0.00,,0.00,,0.00,
seed-oss_1024,20.00,,18.06%,0.00%,0.278,3.78,6,0.00,,10.00,,0.00,,0.00,,10.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,20.00,,9.26%,0.00%,0.647,8.01,6,0.00,,0.00,,0.00,,17.00,,3.00,,0.00,
Qwen2.5-Coder-7B-Instruct,12.00,,10.97%,0.00%,0.375,374.90,6,0.00,,0.00,,12.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,12.00,,9.68%,0.00%,0.383,376.54,6,0.00,,0.00,,12.00,,0.00,,0.00,,0.00,
seed-oss_2048,11.00,,12.04%,0.00%,0.162,408.67,6,3.00,,0.00,,5.00,,0.00,,3.00,,0.00,
seed-oss_512,7.00,,5.22%,0.00%,0.028,3.81,6,0.00,,0.00,,7.00,,0.00,,0.00,,0.00,
seed-oss_0,6.00,,5.83%,0.00%,0.265,7.03,6,3.00,,0.00,,0.00,,0.00,,3.00,,0.00,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,1.36%,0.00%,0.193,1.18,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Codestral-22B-v0.1,0.00,,2.67%,0.00%,0.315,747.10,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
