solution,status,score,%test passed,time,memory,subtask_0
j1_Qwen3-32B-Non-Thinking_0.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-32B-Non-Thinking_0.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-32B-Non-Thinking_0.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-32B-Non-Thinking_4.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-32B-Non-Thinking_4.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-32B-Non-Thinking_5.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-32B-Non-Thinking_5.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-32B-Non-Thinking_5.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-32B-Non-Thinking_5.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-32B-Non-Thinking_5.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-32B-Non-Thinking_5.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-32B-Non-Thinking_5.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-32B-Non-Thinking_6.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-32B-Non-Thinking_6.cpp,ACCEPTED,15,100.00%,0.000,0,15
j1_Qwen3-32B-Non-Thinking_6.cpp,ACCEPTED,15,100.00%,0.000,0,15
