problem,model,status,score,relative_score,%test passed,time,memory
2024-sp_Fish_3,Qwen2.5-Coder-32B-Instruct,RUNTIME_ERROR,0,0.00%,9.21%,0.200,8.26171875
2024-sp_Ski_2,Qwen2.5-Coder-32B-Instruct,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Spy_3,Qwen2.5-Coder-32B-Instruct,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Board_Game,Qwen2.5-Coder-32B-Instruct,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Tricolor_Lights,Qwen2.5-Coder-32B-Instruct,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,Qwen2.5-Coder-32B-Instruct,RUNTIME_ERROR,0,0.00%,4.60%,0.000,0
2024-sp_Card_Collection,Qwen2.5-Coder-32B-Instruct,RUNTIME_ERROR,0,0.00%,3.10%,0.000,0
2024-sp_JOI_Tour,Qwen2.5-Coder-32B-Instruct,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Tower,Qwen2.5-Coder-32B-Instruct,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Escape_Route_2,Qwen2.5-Coder-32B-Instruct,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Island_Hopping,Qwen2.5-Coder-32B-Instruct,RUNTIME_ERROR,0,0.00%,0.00%,0.160,1.546875
2024-sp_Table_Tennis,Qwen2.5-Coder-32B-Instruct,RUNTIME_ERROR,0,0.00%,10.66%,0.170,13.4140625
