solution,status,score,%test passed,time,memory,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
bronze_Balancing_Bacteria_Qwen3-32B-Non-Thinking_2.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,2.240,2.7890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Balancing_Bacteria_Qwen3-32B-Non-Thinking_4.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,2.220,2.7890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Balancing_Bacteria_Qwen3-32B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Balancing_Bacteria_Qwen3-32B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Balancing_Bacteria_Qwen3-32B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Balancing_Bacteria_Qwen3-32B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Balancing_Bacteria_Qwen3-32B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Balancing_Bacteria_Qwen3-32B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Balancing_Bacteria_Qwen3-32B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Balancing_Bacteria_Qwen3-32B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Balancing_Bacteria_Qwen3-32B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Balancing_Bacteria_Qwen3-32B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
