problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
s1j4,RUNTIME_ERROR,3,35.00%,0.040,0,,3,0,0,0,0,0,0,0
s2,ACCEPTED,15,100.00%,0.040,0.00390625,,5,5,5,0,0,0,0,0
s3,RUNTIME_ERROR,2,13.10%,0.050,5.1640625,,2,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,3,20.59%,0.250,32.3359375,,3,0,0,0,0,0,0,0
s5,TIME_LIMIT_EXCEEDED,0,1.56%,1.660,1.71484375,,0,0,0,0,0,0,0,0
d1p1,TIME_LIMIT_EXCEEDED,3,21.43%,1.110,5.4140625,,0,3,0,0,0,0,0,0
d1p2,RUNTIME_ERROR,0,1.90%,1.610,78.8984375,,0,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,4.81%,0.200,3.36328125,,0,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,1,26.79%,0.040,1.70703125,,1,0,0,0,0,0,0,0
d2p2,TIME_LIMIT_EXCEEDED,2,9.38%,2.220,136.21875,,2,0,0,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,0,0.00%,1.110,2.84765625,,0,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.000,0,,6,6,3,0,0,0,0,0
s1j4,RUNTIME_ERROR,3,32.50%,0.000,0,,3,0,0,0,0,0,0,0
j5,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
TOTAL,,77,35.44%,,,25.00%,,,,,,,,
