problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,16.33%,0.000,0,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,0.880,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,5.80%,0.000,0,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
procesor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,0.000,0,,21,13,16,0,0,0
zid,TIME_LIMIT_EXCEEDED,38,66.67%,1.110,2.5859375,,17,21,0,0,0,0
tornjevi,ACCEPTED,90,100.00%,0.270,20.8515625,,7,11,17,29,26,0
crtez,TIME_LIMIT_EXCEEDED,20,42.55%,2.230,2.328125,,20,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,2.020,215.02734375,,15,15,45,45,0,0
sah,ACCEPTED,50,100.00%,0.060,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,0.080,3.39453125,,15,30,25,0,0,0
xor,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,0,0.00%,0.150,16.12109375,,0,0,0,0,0,0
tura,RUNTIME_ERROR,0,0.72%,0.030,1.55859375,,0,0,0,0,0,0
paradoks,RUNTIME_ERROR,10,38.46%,0.000,0,,10,0,0,0,0,0
igre,RUNTIME_ERROR,29,38.78%,0.040,0.00390625,,6,0,23,0,0,0
razlicitost,MEMORY_LIMIT_EXCEEDED,22,37.21%,0.070,4.39453125,,0,13,9,0,0,0
blistavost,RUNTIME_ERROR,0,9.84%,0.030,1.5546875,,0,0,0,0,0,0
trokuti,RUNTIME_ERROR,13,25.96%,0.060,4.39453125,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,0.100,12.125,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,0.560,57.5,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,0,1.64%,0.000,0,,0,0,0,0,0,0
zbunjenost,MEMORY_LIMIT_EXCEEDED,0,3.23%,0.260,481.796875,,0,0,0,0,0,0
TOTAL,,792,47.49%,,,36.00%,,,,,,
