problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,0.010,0,,17,19,14,0,0
vrsar,RUNTIME_ERROR,0,0.00%,0.030,5.36328125,,0,0,0,0,0
milano,ACCEPTED,110,100.00%,0.050,4.4140625,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.00%,0.070,2.0703125,,0,0,0,0,0
cesta,RUNTIME_ERROR,0,0.92%,0.040,8.2578125,,0,0,0,0,0
zlagalica,RUNTIME_ERROR,12,25.00%,0.010,0,,0,12,0,0,0
bitovi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
piratski,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
rolete,RUNTIME_ERROR,26,22.45%,0.060,4.390625,,0,26,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.010,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,0.030,4.39453125,,7,27,36,0,0
lepeze,RUNTIME_ERROR,0,1.92%,0.000,0,,0,0,0,0,0
putovanje,TIME_LIMIT_EXCEEDED,65,74.10%,2.430,5.69140625,,10,20,35,0,0
roboti,TIME_LIMIT_EXCEEDED,10,20.45%,2.410,21.609375,,10,0,0,0,0
pahuljice,ACCEPTED,50,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,0.020,4.38671875,,7,16,22,25,0
dizalo,RUNTIME_ERROR,0,0.00%,0.020,14.8046875,,0,0,0,0,0
kuglice,RUNTIME_ERROR,0,12.16%,0.040,4.13671875,,0,0,0,0,0
zatopljenje,ACCEPTED,110,100.00%,0.120,12.8984375,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,0.020,2.33203125,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,1.140,99.00390625,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,13.33%,0.040,0.00390625,,0,0,0,0,0
mostovi,RUNTIME_ERROR,0,0.00%,0.030,7.7421875,,0,0,0,0,0
TOTAL,,853,46.81%,,,40.00%,,,,,
