problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
s1j4,RUNTIME_ERROR,6,52.50%,0.010,0.00390625,,3,3,0,0,0,0,0,0
s2,ACCEPTED,15,100.00%,0.120,96.94921875,,5,5,5,0,0,0,0,0
s3,RUNTIME_ERROR,2,10.71%,0.090,5.16796875,,2,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,1.47%,0.010,17.12890625,,0,0,0,0,0,0,0,0
s5,TIME_LIMIT_EXCEEDED,4,54.69%,1.810,1.8359375,,0,4,0,0,0,0,0,0
d1p1,MEMORY_LIMIT_EXCEEDED,18,84.29%,0.530,1179.91015625,,3,3,4,4,4,0,0,0
d1p2,TIME_LIMIT_EXCEEDED,0,0.95%,5.980,5.16796875,,0,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,3.85%,0.110,3.36328125,,0,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,1,27.68%,0.010,0.00390625,,1,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,0,3.12%,0.170,14.0,,0,0,0,0,0,0,0,0
d2p3,RUNTIME_ERROR,0,52.83%,0.220,2.84765625,,0,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.000,0,,6,6,3,0,0,0,0,0
s1j4,RUNTIME_ERROR,6,52.50%,0.010,0.00390625,,3,3,0,0,0,0,0,0
j5,RUNTIME_ERROR,6,72.22%,0.010,0,,2,2,2,0,0,0,0,0
TOTAL,,103,51.05%,,,25.00%,,,,,,,,
