problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,0.080,3.3046875,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,0.010,0.00390625,,5,5,2,3,0,0,0
s4,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
s5,RUNTIME_ERROR,0,12.39%,0.030,4.390625,,0,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,1.110,130.01171875,,5,5,7,8,0,0,0
d1p2,ACCEPTED,25,100.00%,0.570,134.96875,,3,4,5,6,7,0,0
d1p3,RUNTIME_ERROR,0,0.85%,0.150,35.8125,,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,0,0.00%,0.010,0.00390625,,0,0,0,0,0,0,0
d2p2,TIME_LIMIT_EXCEEDED,0,9.50%,4.820,9.078125,,0,0,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,0,2.30%,4.810,21.14453125,,0,0,0,0,0,0,0
j1,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.020,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.020,0.00390625,,6,7,2,0,0,0,0
j4,ACCEPTED,15,100.00%,0.020,2.3125,,3,3,5,4,0,0,0
j5,ACCEPTED,15,100.00%,0.020,1.5546875,,1,4,5,5,0,0,0
TOTAL,,140,55.00%,,,53.33%,,,,,,,
