problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,19,14,0,0
vrsar,ACCEPTED,70,100.00%,100.00%,0.100,5.1640625,,8,17,19,26,0
milano,ACCEPTED,110,100.00%,100.00%,0.080,4.65234375,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.00%,0.68%,0.110,27.2265625,,0,0,0,0,0
cesta,ACCEPTED,110,100.00%,100.00%,0.530,123.546875,,10,30,30,40,0
zlagalica,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,12,12,9,0
bitovi,RUNTIME_ERROR,0,0.00%,0.00%,0.050,0.00390625,,0,0,0,0,0
piratski,ACCEPTED,110,100.00%,100.00%,0.050,0.00390625,,20,40,50,0,0
rolete,ACCEPTED,110,100.00%,100.00%,0.090,4.13671875,,16,26,32,36,0
trokut,RUNTIME_ERROR,0,0.00%,0.00%,0.050,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,100.00%,0.070,4.39453125,,7,27,36,0,0
lepeze,ACCEPTED,110,100.00%,100.00%,0.260,14.4453125,,12,16,30,12,40
putovanje,ACCEPTED,110,100.00%,100.00%,0.510,6.26171875,,10,20,35,45,0
roboti,ACCEPTED,110,100.00%,100.00%,0.420,86.72265625,,10,13,49,38,0
pahuljice,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,100.00%,0.060,6.1953125,,7,16,22,25,0
dizalo,ACCEPTED,110,100.00%,100.00%,0.090,9.28515625,,16,19,29,46,0
kuglice,ACCEPTED,110,100.00%,100.00%,0.060,18.57421875,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,100.00%,0.140,12.125,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,100.00%,0.060,1.63671875,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,100.00%,0.550,96.11328125,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,0.00%,13.33%,0.060,0,,0,0,0,0,0
mostovi,TIME_LIMIT_EXCEEDED,30,27.27%,56.78%,3.600,12.640625,,13,17,0,0,0
TOTAL,,1770,,82.83%,,,80.00%,,,,,
